id	language	choices_file	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo
19	19_sov_ng_ac_b_no	19_sov_ng_ac_b_no.choice	sov	ng	nom-acc	ac	balancing	b	nomn	no	ovs
20	20_sov_ng_ac_d_se	20_sov_ng_ac_d_se.choice	sov	ng	nom-acc	ac	deranking	d	sent	se	sov
21	21_sov_ng_ac_d_pa	21_sov_ng_ac_d_pa.choice	sov	ng	nom-acc	ac	deranking	d	poss-acc	pa	ovs
22	22_sov_ng_ac_d_ep	22_sov_ng_ac_d_ep.choice	sov	ng	nom-acc	ac	deranking	d	erg-poss	ep	vos
23	23_sov_ng_ac_d_no	23_sov_ng_ac_d_no.choice	sov	ng	nom-acc	ac	deranking	d	nomn	no	ovs
24	24_sov_ng_er_b_se	24_sov_ng_er_b_se.choice	sov	ng	erg-abs	er	balancing	b	sent	se	sov
25	25_sov_ng_er_b_pa	25_sov_ng_er_b_pa.choice	sov	ng	erg-abs	er	balancing	b	poss-acc	pa	ovs
26	26_sov_ng_er_b_ep	26_sov_ng_er_b_ep.choice	sov	ng	erg-abs	er	balancing	b	erg-poss	ep	vos
27	27_sov_ng_er_b_no	27_sov_ng_er_b_no.choice	sov	ng	erg-abs	er	balancing	b	nomn	no	ovs
28	28_sov_ng_er_d_se	28_sov_ng_er_d_se.choice	sov	ng	erg-abs	er	deranking	d	sent	se	sov
29	29_sov_ng_er_d_pa	29_sov_ng_er_d_pa.choice	sov	ng	erg-abs	er	deranking	d	poss-acc	pa	ovs
30	30_sov_ng_er_d_ep	30_sov_ng_er_d_ep.choice	sov	ng	erg-abs	er	deranking	d	erg-poss	ep	vos
31	31_sov_ng_er_d_no	31_sov_ng_er_d_no.choice	sov	ng	erg-abs	er	deranking	d	nomn	no	ovs
32	32_svo_gn_ac_b_se	32_svo_gn_ac_b_se.choice	svo	gn	nom-acc	ac	balancing	b	sent	se	svo
33	33_svo_gn_ac_b_pa	33_svo_gn_ac_b_pa.choice	svo	gn	nom-acc	ac	balancing	b	poss-acc	pa	svo
34	34_svo_gn_ac_b_ep	34_svo_gn_ac_b_ep.choice	svo	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov
35	35_svo_gn_ac_b_no	35_svo_gn_ac_b_no.choice	svo	gn	nom-acc	ac	balancing	b	nomn	no	svo
36	36_svo_gn_ac_d_se	36_svo_gn_ac_d_se.choice	svo	gn	nom-acc	ac	deranking	d	sent	se	svo
37	37_svo_gn_ac_d_pa	37_svo_gn_ac_d_pa.choice	svo	gn	nom-acc	ac	deranking	d	poss-acc	pa	svo
38	38_svo_gn_ac_d_ep	38_svo_gn_ac_d_ep.choice	svo	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov
39	39_svo_gn_ac_d_no	39_svo_gn_ac_d_no.choice	svo	gn	nom-acc	ac	deranking	d	nomn	no	svo
40	40_svo_gn_er_b_se	40_svo_gn_er_b_se.choice	svo	gn	erg-abs	er	balancing	b	sent	se	svo
