phenomenon	clause_wo	np_wo	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_5_tran_A_marker	svo	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_5_tran_A_marker	svo	gn	nom-acc	8	800	0.967500	0.040000	0.928800
1_5_tran_A_marker	svo	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_5_tran_A_marker	svo	ng	nom-acc	8	800	0.990000	0.040000	0.950400
1_5_tran_A_marker	vos	gn	erg-abs	8	800	1.000000	0.012500	0.987500
1_5_tran_A_marker	vos	gn	nom-acc	8	800	0.987500	0.040000	0.948000
1_5_tran_A_marker	vos	ng	erg-abs	8	800	1.000000	0.520000	0.480000
1_5_tran_A_marker	vos	ng	nom-acc	8	800	0.833750	0.140000	0.717025
1_6_tran_P_marker	sov	gn	erg-abs	8	800	0.973750	0.030000	0.944538
1_6_tran_P_marker	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_6_tran_P_marker	sov	ng	erg-abs	8	800	0.858750	0.110000	0.764288
1_6_tran_P_marker	sov	ng	nom-acc	8	800	1.000000	0.500000	0.500000
1_6_tran_P_marker	svo	gn	erg-abs	8	800	0.992500	0.030000	0.962725
1_6_tran_P_marker	svo	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_6_tran_P_marker	svo	ng	erg-abs	8	800	0.938750	0.030000	0.910587
1_6_tran_P_marker	svo	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_6_tran_P_marker	vos	gn	erg-abs	8	800	0.988750	0.110000	0.879988
1_6_tran_P_marker	vos	gn	nom-acc	8	800	1.000000	0.500000	0.500000
1_6_tran_P_marker	vos	ng	erg-abs	8	800	1.000000	0.030000	0.970000
1_6_tran_P_marker	vos	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	sov	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	sov	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	sov	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	sov	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	svo	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	svo	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	svo	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	svo	ng	nom-acc	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	vos	gn	erg-abs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	vos	gn	nom-acc	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	vos	ng	erg-abs	8	800	1.000000	0.000000	1.000000
1_7_tran_AV_order	vos	ng	nom-acc	8	800	1.000000	0.000000	1.000000
