phenomenon	anc_wo	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
4_1_anc_V_form	svo	24	2400	0.937500	0.125417	0.819922
4_1_anc_V_form	vos	36	3600	0.953333	0.124444	0.834696
4_2_anc_S_marker	ovs	8	800	0.982500	0.010000	0.972675
4_2_anc_S_marker	sov	28	2800	0.770000	0.365357	0.488675
4_2_anc_S_marker	svo	24	2400	0.810000	0.144167	0.693225
4_2_anc_S_marker	vos	36	3600	0.823056	0.310000	0.567908
4_3_anc_A_marker	ovs	8	800	0.965000	0.010000	0.955350
4_3_anc_A_marker	sov	28	2800	0.564643	0.329286	0.378714
4_3_anc_A_marker	svo	24	2400	0.782500	0.050000	0.743375
4_3_anc_A_marker	vos	36	3600	0.646944	0.259444	0.479098
4_4_anc_P_marker	ovs	8	800	0.900000	0.507500	0.443250
4_4_anc_P_marker	sov	28	2800	0.894286	0.326786	0.602046
4_4_anc_P_marker	svo	24	2400	0.939583	0.171667	0.778288
4_4_anc_P_marker	vos	36	3600	0.880556	0.366944	0.557441
4_5_anc_SV_order	ovs	8	800	0.628750	1.000000	0.000000
4_5_anc_SV_order	sov	28	2800	0.985714	0.142857	0.844898
4_5_anc_SV_order	svo	24	2400	0.793333	0.486667	0.407244
4_5_anc_SV_order	vos	36	3600	0.953611	0.112778	0.846065
4_6_anc_AV_order	ovs	8	800	0.783750	1.000000	0.000000
4_6_anc_AV_order	sov	28	2800	0.930714	0.000000	0.930714
4_6_anc_AV_order	svo	24	2400	0.888333	0.335000	0.590742
4_6_anc_AV_order	vos	36	3600	0.955278	0.000000	0.955278
4_7_anc_VP_order	ovs	8	800	0.941250	0.012500	0.929484
4_7_anc_VP_order	sov	28	2800	0.940357	0.285714	0.671684
4_7_anc_VP_order	svo	24	2400	0.912500	0.050833	0.866115
4_7_anc_VP_order	vos	36	3600	0.898056	0.111111	0.798272
5_1_anc_ext_S_marker	ovs	8	800	0.442500	0.042500	0.423694
5_1_anc_ext_S_marker	sov	28	2800	0.632500	0.082857	0.580093
5_1_anc_ext_S_marker	svo	24	2400	0.646667	0.076667	0.597089
5_1_anc_ext_S_marker	vos	36	3600	0.651667	0.064444	0.609670
5_2_anc_ext_A_marker	ovs	8	800	0.818750	0.000000	0.818750
5_2_anc_ext_A_marker	sov	28	2800	0.783929	0.185714	0.638342
5_2_anc_ext_A_marker	svo	24	2400	0.845000	0.030000	0.819650
5_2_anc_ext_A_marker	vos	36	3600	0.832222	0.144444	0.712012
5_3_anc_ext_P_marker	ovs	8	800	0.753750	0.302500	0.525741
5_3_anc_ext_P_marker	sov	28	2800	0.918214	0.133214	0.795895
5_3_anc_ext_P_marker	svo	24	2400	0.894583	0.185000	0.729085
5_3_anc_ext_P_marker	vos	36	3600	0.929444	0.103611	0.833144
5_4_anc_ext_gen_marker	ovs	8	512	0.654297	0.007812	0.649185
5_4_anc_ext_gen_marker	sov	28	1792	0.824219	0.039062	0.792023
5_4_anc_ext_gen_marker	svo	24	1536	0.835938	0.045573	0.797841
5_4_anc_ext_gen_marker	vos	36	2304	0.800347	0.030382	0.776031
6_1_anc_omit_S	ovs	8	688	0.978198	0.110465	0.870141
6_1_anc_omit_S	sov	28	2408	0.980066	0.111296	0.870989
6_1_anc_omit_S	svo	24	2064	0.984496	0.113372	0.872882
6_1_anc_omit_S	vos	36	3096	0.988049	0.110465	0.878904
6_2_anc_omit_A	ovs	8	800	0.790000	0.255000	0.588550
6_2_anc_omit_A	sov	28	2800	0.834286	0.218929	0.651637
6_2_anc_omit_A	svo	24	2400	0.652083	0.088333	0.594483
6_2_anc_omit_A	vos	36	3600	0.727500	0.143889	0.622821
6_3_anc_omit_P	ovs	8	800	0.947500	0.000000	0.947500
6_3_anc_omit_P	sov	28	2800	0.771429	0.214286	0.606122
6_3_anc_omit_P	svo	24	2400	0.876250	0.166667	0.730208
6_3_anc_omit_P	vos	36	3600	0.813611	0.166667	0.678009
6_4_anc_omit_A_P	ovs	8	800	0.891250	0.260000	0.659525
6_4_anc_omit_A_P	sov	28	2800	0.900000	0.257857	0.667929
6_4_anc_omit_A_P	svo	24	2400	0.907500	0.256667	0.674575
6_4_anc_omit_A_P	vos	36	3600	0.918611	0.257222	0.682324
