phenomenon	strategy	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
3_6_clausal_CV_valency	poss-acc	24	2400	0.745417	0.761667	0.177658
3_6_clausal_CV_valency	sent	24	2400	0.749167	0.792500	0.155452
4_1_anc_V_form	erg-poss	24	2400	0.954167	0.090000	0.868292
4_1_anc_V_form	nomn	24	2400	0.971250	0.133750	0.841345
4_1_anc_V_form	poss-acc	24	2400	0.949167	0.166250	0.791368
4_1_anc_V_form	sent	24	2400	0.908750	0.113333	0.805758
4_2_anc_S_marker	erg-poss	24	2400	0.979583	0.128750	0.853462
4_2_anc_S_marker	nomn	24	2400	0.951250	0.128750	0.828777
4_2_anc_S_marker	poss-acc	24	2400	0.935833	0.279583	0.674190
4_2_anc_S_marker	sent	24	2400	0.403750	0.501667	0.201202
4_3_anc_A_marker	erg-poss	24	2400	0.548333	0.010000	0.542850
4_3_anc_A_marker	nomn	24	2400	0.836667	0.011667	0.826906
4_3_anc_A_marker	poss-acc	24	2400	0.807917	0.136667	0.697501
4_3_anc_A_marker	sent	24	2400	0.540417	0.668333	0.179238
4_4_anc_P_marker	erg-poss	24	2400	0.975417	0.015000	0.960785
4_4_anc_P_marker	nomn	24	2400	0.951667	0.086667	0.869189
4_4_anc_P_marker	poss-acc	24	2400	0.814167	0.834167	0.135016
4_4_anc_P_marker	sent	24	2400	0.862500	0.336667	0.572125
4_5_anc_SV_order	erg-poss	24	2400	0.958750	0.334167	0.638368
4_5_anc_SV_order	nomn	24	2400	0.868333	0.334167	0.578165
4_5_anc_SV_order	poss-acc	24	2400	0.861250	0.335833	0.572014
4_5_anc_SV_order	sent	24	2400	0.895000	0.151667	0.759258
4_6_anc_AV_order	erg-poss	24	2400	0.895833	0.000000	0.895833
4_6_anc_AV_order	nomn	24	2400	0.890000	0.333333	0.593333
4_6_anc_AV_order	poss-acc	24	2400	0.890833	0.333333	0.593889
4_6_anc_AV_order	sent	24	2400	0.991667	0.001667	0.990014
4_7_anc_VP_order	erg-poss	24	2400	0.907917	0.500000	0.453958
4_7_anc_VP_order	nomn	24	2400	0.958750	0.000000	0.958750
4_7_anc_VP_order	poss-acc	24	2400	0.854167	0.050833	0.810747
4_7_anc_VP_order	sent	24	2400	0.949583	0.004167	0.945627
5_1_anc_ext_S_marker	erg-poss	24	2400	0.666667	0.000000	0.666667
5_1_anc_ext_S_marker	nomn	24	2400	0.665000	0.000000	0.665000
5_1_anc_ext_S_marker	poss-acc	24	2400	0.614167	0.042500	0.588065
5_1_anc_ext_S_marker	sent	24	2400	0.563750	0.241667	0.427510
5_2_anc_ext_A_marker	erg-poss	24	2400	0.855417	0.083333	0.784132
5_2_anc_ext_A_marker	nomn	24	2400	0.864167	0.083333	0.792153
5_2_anc_ext_A_marker	poss-acc	24	2400	0.821250	0.083333	0.752812
5_2_anc_ext_A_marker	sent	24	2400	0.740000	0.213333	0.582133
5_3_anc_ext_P_marker	erg-poss	24	2400	0.872083	0.085000	0.797956
5_3_anc_ext_P_marker	nomn	24	2400	0.914167	0.086667	0.834939
5_3_anc_ext_P_marker	poss-acc	24	2400	0.894583	0.150000	0.760396
5_3_anc_ext_P_marker	sent	24	2400	0.930417	0.275000	0.674552
5_4_anc_ext_gen_marker	erg-poss	24	1536	0.886719	0.002604	0.884410
5_4_anc_ext_gen_marker	nomn	24	1536	0.817708	0.002604	0.815579
5_4_anc_ext_gen_marker	poss-acc	24	1536	0.751302	0.002604	0.749346
5_4_anc_ext_gen_marker	sent	24	1536	0.760417	0.131510	0.660414
6_1_anc_omit_S	erg-poss	24	2064	0.986434	0.111434	0.876512
6_1_anc_omit_S	nomn	24	2064	0.983527	0.111434	0.873929
6_1_anc_omit_S	poss-acc	24	2064	0.984981	0.111434	0.875220
6_1_anc_omit_S	sent	24	2064	0.981105	0.111434	0.871776
6_2_anc_omit_A	erg-poss	24	2400	0.852083	0.129583	0.741668
6_2_anc_omit_A	nomn	24	2400	0.759583	0.171667	0.629188
6_2_anc_omit_A	poss-acc	24	2400	0.672500	0.171667	0.557054
6_2_anc_omit_A	sent	24	2400	0.695833	0.171667	0.576382
6_3_anc_omit_P	erg-poss	24	2400	0.715833	0.166667	0.596528
6_3_anc_omit_P	nomn	24	2400	0.893333	0.125000	0.781667
6_3_anc_omit_P	poss-acc	24	2400	0.897083	0.125000	0.784948
6_3_anc_omit_P	sent	24	2400	0.806250	0.250000	0.604688
6_4_anc_omit_A_P	erg-poss	24	2400	0.904167	0.257500	0.671344
6_4_anc_omit_A_P	nomn	24	2400	0.904167	0.257500	0.671344
6_4_anc_omit_A_P	poss-acc	24	2400	0.910000	0.257500	0.675675
6_4_anc_omit_A_P	sent	24	2400	0.914167	0.257500	0.678769
