phenomenon	strategy	alignment	n_languages	n_pairs	mean_accuracy_strict	bad_parse	bad_parse_rate
1_9_intran_V_valency	sent	nom-acc	12	1200	0.692500	612	0.510000
2_1_intran_gen_marker	erg-poss	erg-abs	12	1200	0.897500	192	0.160000
2_1_intran_gen_marker	erg-poss	nom-acc	12	1200	0.894167	192	0.160000
2_1_intran_gen_marker	nomn	erg-abs	12	1200	0.896667	192	0.160000
2_1_intran_gen_marker	nomn	nom-acc	12	1200	0.890833	192	0.160000
2_1_intran_gen_marker	poss-acc	erg-abs	12	1200	0.906667	192	0.160000
2_1_intran_gen_marker	poss-acc	nom-acc	12	1200	0.882500	192	0.160000
2_1_intran_gen_marker	sent	erg-abs	12	1200	0.888333	192	0.160000
2_1_intran_gen_marker	sent	nom-acc	12	1200	0.880000	192	0.160000
2_2_tran_gen_marker	erg-poss	erg-abs	12	1200	0.900833	3	0.002500
2_2_tran_gen_marker	erg-poss	nom-acc	12	1200	0.939167	0	0.000000
2_2_tran_gen_marker	nomn	erg-abs	12	1200	0.885833	3	0.002500
2_2_tran_gen_marker	nomn	nom-acc	12	1200	0.946667	0	0.000000
2_2_tran_gen_marker	poss-acc	erg-abs	12	1200	0.894167	3	0.002500
2_2_tran_gen_marker	poss-acc	nom-acc	12	1200	0.917500	0	0.000000
2_2_tran_gen_marker	sent	erg-abs	12	1200	0.885000	3	0.002500
2_2_tran_gen_marker	sent	nom-acc	12	1200	0.930833	0	0.000000
2_3_gen_order	erg-poss	erg-abs	12	1200	0.955000	284	0.236667
2_3_gen_order	erg-poss	nom-acc	12	1200	0.943333	284	0.236667
2_3_gen_order	nomn	erg-abs	12	1200	0.954167	284	0.236667
2_3_gen_order	nomn	nom-acc	12	1200	0.938333	284	0.236667
2_3_gen_order	poss-acc	erg-abs	12	1200	0.960000	284	0.236667
2_3_gen_order	poss-acc	nom-acc	12	1200	0.937500	284	0.236667
2_3_gen_order	sent	erg-abs	12	1200	0.960000	284	0.236667
2_3_gen_order	sent	nom-acc	12	1200	0.942500	284	0.236667
3_1_clausal_V_form	erg-poss	erg-abs	12	1200	0.982500	0	0.000000
3_1_clausal_V_form	erg-poss	nom-acc	12	1200	0.986667	0	0.000000
3_1_clausal_V_form	nomn	erg-abs	12	1200	0.982500	0	0.000000
3_1_clausal_V_form	nomn	nom-acc	12	1200	0.987500	0	0.000000
3_1_clausal_V_form	poss-acc	erg-abs	12	1200	0.975000	164	0.136667
3_1_clausal_V_form	poss-acc	nom-acc	12	1200	0.989167	0	0.000000
3_1_clausal_V_form	sent	erg-abs	12	1200	0.969167	600	0.500000
3_1_clausal_V_form	sent	nom-acc	12	1200	0.988333	0	0.000000
3_2_clausal_S_marker	erg-poss	erg-abs	12	1200	0.738333	852	0.710000
3_2_clausal_S_marker	erg-poss	nom-acc	12	1200	0.569167	28	0.023333
3_2_clausal_S_marker	nomn	erg-abs	12	1200	0.843333	852	0.710000
3_2_clausal_S_marker	nomn	nom-acc	12	1200	0.709167	28	0.023333
3_2_clausal_S_marker	poss-acc	erg-abs	12	1200	0.845833	852	0.710000
3_2_clausal_S_marker	poss-acc	nom-acc	12	1200	0.662500	28	0.023333
3_2_clausal_S_marker	sent	erg-abs	12	1200	0.863333	717	0.597500
3_2_clausal_S_marker	sent	nom-acc	12	1200	0.717500	230	0.191667
3_3_clausal_A_marker	erg-poss	erg-abs	12	1200	1.000000	28	0.023333
3_3_clausal_A_marker	erg-poss	nom-acc	12	1200	0.950000	0	0.000000
3_3_clausal_A_marker	nomn	erg-abs	12	1200	0.993333	797	0.664167
3_3_clausal_A_marker	nomn	nom-acc	12	1200	0.647500	0	0.000000
3_3_clausal_A_marker	poss-acc	erg-abs	12	1200	0.994167	897	0.747500
3_3_clausal_A_marker	poss-acc	nom-acc	12	1200	0.531667	0	0.000000
3_3_clausal_A_marker	sent	erg-abs	12	1200	0.999167	797	0.664167
3_3_clausal_A_marker	sent	nom-acc	12	1200	0.597500	400	0.333333
3_4_clausal_P_marker	erg-poss	erg-abs	12	1200	0.907500	24	0.020000
3_4_clausal_P_marker	erg-poss	nom-acc	12	1200	1.000000	400	0.333333
3_4_clausal_P_marker	nomn	erg-abs	12	1200	0.960833	12	0.010000
3_4_clausal_P_marker	nomn	nom-acc	12	1200	1.000000	0	0.000000
3_4_clausal_P_marker	poss-acc	erg-abs	12	1200	0.959167	24	0.020000
3_4_clausal_P_marker	poss-acc	nom-acc	12	1200	1.000000	400	0.333333
3_4_clausal_P_marker	sent	erg-abs	12	1200	0.969167	230	0.191667
3_4_clausal_P_marker	sent	nom-acc	12	1200	1.000000	400	0.333333
3_5_clausal_comp_V_order	erg-poss	erg-abs	12	1200	1.000000	0	0.000000
3_5_clausal_comp_V_order	erg-poss	nom-acc	12	1200	0.999167	0	0.000000
3_5_clausal_comp_V_order	nomn	erg-abs	12	1200	1.000000	0	0.000000
3_5_clausal_comp_V_order	nomn	nom-acc	12	1200	1.000000	0	0.000000
3_5_clausal_comp_V_order	poss-acc	erg-abs	12	1200	1.000000	4	0.003333
3_5_clausal_comp_V_order	poss-acc	nom-acc	12	1200	1.000000	0	0.000000
3_5_clausal_comp_V_order	sent	erg-abs	12	1200	1.000000	16	0.013333
3_5_clausal_comp_V_order	sent	nom-acc	12	1200	1.000000	4	0.003333
3_6_clausal_CV_valency	erg-poss	erg-abs	12	1200	0.743333	900	0.750000
3_6_clausal_CV_valency	erg-poss	nom-acc	12	1200	0.756667	900	0.750000
3_6_clausal_CV_valency	nomn	erg-abs	12	1200	0.739167	900	0.750000
3_6_clausal_CV_valency	nomn	nom-acc	12	1200	0.752500	900	0.750000
3_6_clausal_CV_valency	poss-acc	erg-abs	12	1200	0.740833	928	0.773333
3_6_clausal_CV_valency	poss-acc	nom-acc	12	1200	0.750000	900	0.750000
3_6_clausal_CV_valency	sent	erg-abs	12	1200	0.753333	1002	0.835000
3_6_clausal_CV_valency	sent	nom-acc	12	1200	0.745000	900	0.750000
4_1_anc_V_form	erg-poss	erg-abs	12	1200	0.933333	108	0.090000
4_1_anc_V_form	erg-poss	nom-acc	12	1200	0.975000	108	0.090000
4_1_anc_V_form	nomn	erg-abs	12	1200	0.957500	165	0.137500
4_1_anc_V_form	nomn	nom-acc	12	1200	0.985000	156	0.130000
4_1_anc_V_form	poss-acc	erg-abs	12	1200	0.913333	243	0.202500
4_1_anc_V_form	poss-acc	nom-acc	12	1200	0.985000	156	0.130000
4_1_anc_V_form	sent	erg-abs	12	1200	0.847500	212	0.176667
4_1_anc_V_form	sent	nom-acc	12	1200	0.970000	60	0.050000
4_2_anc_S_marker	erg-poss	erg-abs	12	1200	0.970833	297	0.247500
