phenomenon	language	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	anc_wo_choice	anc_iv_order	anc_tv_order	n_pairs	accuracy_strict	mean_delta_good_minus_bad	bad_parse	bad_skip	bad_parse_rate	accuracy_when_bad_parse	accuracy_when_bad_skip
1_10_tran_V_valency	32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo				100	0.870000	0.663014	94	6	0.940000	0.861702	1.000000
1_10_tran_V_valency	33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo				100	0.830000	0.602255	94	6	0.940000	0.819149	1.000000
1_10_tran_V_valency	34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov				100	0.830000	0.620872	94	6	0.940000	0.819149	1.000000
1_10_tran_V_valency	35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo				100	0.840000	0.619585	94	6	0.940000	0.829787	1.000000
1_10_tran_V_valency	36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo				100	0.810000	0.479701	94	6	0.940000	0.797872	1.000000
1_10_tran_V_valency	37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo				100	0.790000	0.568051	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov				100	0.770000	0.492040	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo				100	0.730000	0.387596	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo				100	0.790000	0.456020	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo				100	0.840000	0.513244	94	6	0.940000	0.829787	1.000000
1_10_tran_V_valency	42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov				100	0.770000	0.490477	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo				100	0.800000	0.472096	94	6	0.940000	0.787234	1.000000
1_10_tran_V_valency	44_svo_gn_er_d_se	svo	gn	erg-abs	deranking	sent	svo				100	0.710000	0.440596	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	45_svo_gn_er_d_pa	svo	gn	erg-abs	deranking	poss-acc	svo				100	0.730000	0.365012	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	46_svo_gn_er_d_ep	svo	gn	erg-abs	deranking	erg-poss	sov				100	0.730000	0.429471	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	47_svo_gn_er_d_no	svo	gn	erg-abs	deranking	nomn	svo				100	0.770000	0.395875	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	48_svo_ng_ac_b_se	svo	ng	nom-acc	balancing	sent	svo				100	0.830000	0.695987	94	6	0.940000	0.819149	1.000000
1_10_tran_V_valency	49_svo_ng_ac_b_pa	svo	ng	nom-acc	balancing	poss-acc	vos				100	0.840000	0.716391	94	6	0.940000	0.829787	1.000000
1_10_tran_V_valency	50_svo_ng_ac_b_ep	svo	ng	nom-acc	balancing	erg-poss	vos				100	0.840000	0.708911	94	6	0.940000	0.829787	1.000000
1_10_tran_V_valency	51_svo_ng_ac_b_no	svo	ng	nom-acc	balancing	nomn	vos				100	0.860000	0.713313	94	6	0.940000	0.851064	1.000000
1_10_tran_V_valency	52_svo_ng_ac_d_se	svo	ng	nom-acc	deranking	sent	svo				100	0.840000	0.611057	94	6	0.940000	0.829787	1.000000
1_10_tran_V_valency	53_svo_ng_ac_d_pa	svo	ng	nom-acc	deranking	poss-acc	vos				100	0.810000	0.537867	94	6	0.940000	0.797872	1.000000
1_10_tran_V_valency	54_svo_ng_ac_d_ep	svo	ng	nom-acc	deranking	erg-poss	vos				100	0.840000	0.553375	94	6	0.940000	0.829787	1.000000
1_10_tran_V_valency	55_svo_ng_ac_d_no	svo	ng	nom-acc	deranking	nomn	vos				100	0.810000	0.582194	94	6	0.940000	0.797872	1.000000
1_10_tran_V_valency	56_svo_ng_er_b_se	svo	ng	erg-abs	balancing	sent	svo				100	0.790000	0.550010	94	6	0.940000	0.776596	1.000000
1_10_tran_V_valency	57_svo_ng_er_b_pa	svo	ng	erg-abs	balancing	poss-acc	vos				100	0.750000	0.462299	94	6	0.940000	0.734043	1.000000
1_10_tran_V_valency	58_svo_ng_er_b_ep	svo	ng	erg-abs	balancing	erg-poss	vos				100	0.730000	0.493026	94	6	0.940000	0.712766	1.000000
1_10_tran_V_valency	59_svo_ng_er_b_no	svo	ng	erg-abs	balancing	nomn	vos				100	0.770000	0.480938	94	6	0.940000	0.755319	1.000000
1_10_tran_V_valency	60_svo_ng_er_d_se	svo	ng	erg-abs	deranking	sent	svo				100	0.750000	0.436847	94	6	0.940000	0.734043	1.000000
1_10_tran_V_valency	61_svo_ng_er_d_pa	svo	ng	erg-abs	deranking	poss-acc	vos				100	0.710000	0.377333	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	62_svo_ng_er_d_ep	svo	ng	erg-abs	deranking	erg-poss	vos				100	0.710000	0.397053	94	6	0.940000	0.691489	1.000000
1_10_tran_V_valency	63_svo_ng_er_d_no	svo	ng	erg-abs	deranking	nomn	vos				100	0.700000	0.391910	94	6	0.940000	0.680851	1.000000
1_10_tran_V_valency	64_vos_gn_ac_b_se	vos	gn	nom-acc	balancing	sent	vos				100	0.720000	0.363946	94	6	0.940000	0.702128	1.000000
1_10_tran_V_valency	65_vos_gn_ac_b_pa	vos	gn	nom-acc	balancing	poss-acc	svo				100	0.690000	0.340831	94	6	0.940000	0.670213	1.000000
1_10_tran_V_valency	66_vos_gn_ac_b_ep	vos	gn	nom-acc	balancing	erg-poss	sov				100	0.680000	0.346847	94	6	0.940000	0.659574	1.000000
1_10_tran_V_valency	67_vos_gn_ac_b_no	vos	gn	nom-acc	balancing	nomn	svo				100	0.690000	0.331261	94	6	0.940000	0.670213	1.000000
1_10_tran_V_valency	68_vos_gn_ac_d_se	vos	gn	nom-acc	deranking	sent	vos				100	0.670000	0.352547	94	6	0.940000	0.648936	1.000000
