phenomenon	strategy	alignment	n_languages	n_pairs	raw_accuracy	bad_parse_rate	weighted_accuracy
1_9_intran_V_valency	erg-poss	nom-acc	12	1200	0.693333	0.510000	0.339733
1_9_intran_V_valency	nomn	erg-abs	12	1200	0.667500	0.510000	0.327075
1_9_intran_V_valency	nomn	nom-acc	12	1200	0.704167	0.510000	0.345042
1_9_intran_V_valency	poss-acc	erg-abs	12	1200	0.680833	0.510000	0.333608
1_9_intran_V_valency	poss-acc	nom-acc	12	1200	0.680833	0.510000	0.333608
1_9_intran_V_valency	sent	erg-abs	12	1200	0.668333	0.510000	0.327483
1_9_intran_V_valency	sent	nom-acc	12	1200	0.692500	0.510000	0.339325
2_1_intran_gen_marker	erg-poss	erg-abs	12	1200	0.897500	0.160000	0.753900
2_1_intran_gen_marker	erg-poss	nom-acc	12	1200	0.894167	0.160000	0.751100
2_1_intran_gen_marker	nomn	erg-abs	12	1200	0.896667	0.160000	0.753200
2_1_intran_gen_marker	nomn	nom-acc	12	1200	0.890833	0.160000	0.748300
2_1_intran_gen_marker	poss-acc	erg-abs	12	1200	0.906667	0.160000	0.761600
2_1_intran_gen_marker	poss-acc	nom-acc	12	1200	0.882500	0.160000	0.741300
2_1_intran_gen_marker	sent	erg-abs	12	1200	0.888333	0.160000	0.746200
2_1_intran_gen_marker	sent	nom-acc	12	1200	0.880000	0.160000	0.739200
2_2_tran_gen_marker	erg-poss	erg-abs	12	1200	0.900833	0.002500	0.898581
2_2_tran_gen_marker	erg-poss	nom-acc	12	1200	0.939167	0.000000	0.939167
2_2_tran_gen_marker	nomn	erg-abs	12	1200	0.885833	0.002500	0.883619
2_2_tran_gen_marker	nomn	nom-acc	12	1200	0.946667	0.000000	0.946667
2_2_tran_gen_marker	poss-acc	erg-abs	12	1200	0.894167	0.002500	0.891931
2_2_tran_gen_marker	poss-acc	nom-acc	12	1200	0.917500	0.000000	0.917500
2_2_tran_gen_marker	sent	erg-abs	12	1200	0.885000	0.002500	0.882788
2_2_tran_gen_marker	sent	nom-acc	12	1200	0.930833	0.000000	0.930833
2_3_gen_order	erg-poss	erg-abs	12	1200	0.955000	0.236667	0.728983
2_3_gen_order	erg-poss	nom-acc	12	1200	0.943333	0.236667	0.720078
2_3_gen_order	nomn	erg-abs	12	1200	0.954167	0.236667	0.728347
2_3_gen_order	nomn	nom-acc	12	1200	0.938333	0.236667	0.716261
2_3_gen_order	poss-acc	erg-abs	12	1200	0.960000	0.236667	0.732800
2_3_gen_order	poss-acc	nom-acc	12	1200	0.937500	0.236667	0.715625
2_3_gen_order	sent	erg-abs	12	1200	0.960000	0.236667	0.732800
2_3_gen_order	sent	nom-acc	12	1200	0.942500	0.236667	0.719442
3_1_clausal_V_form	erg-poss	erg-abs	12	1200	0.982500	0.000000	0.982500
3_1_clausal_V_form	erg-poss	nom-acc	12	1200	0.986667	0.000000	0.986667
3_1_clausal_V_form	nomn	erg-abs	12	1200	0.982500	0.000000	0.982500
3_1_clausal_V_form	nomn	nom-acc	12	1200	0.987500	0.000000	0.987500
3_1_clausal_V_form	poss-acc	erg-abs	12	1200	0.975000	0.136667	0.841750
3_1_clausal_V_form	poss-acc	nom-acc	12	1200	0.989167	0.000000	0.989167
3_1_clausal_V_form	sent	erg-abs	12	1200	0.969167	0.500000	0.484583
3_1_clausal_V_form	sent	nom-acc	12	1200	0.988333	0.000000	0.988333
3_2_clausal_S_marker	erg-poss	erg-abs	12	1200	0.738333	0.710000	0.214117
3_2_clausal_S_marker	erg-poss	nom-acc	12	1200	0.569167	0.023333	0.555886
3_2_clausal_S_marker	nomn	erg-abs	12	1200	0.843333	0.710000	0.244567
3_2_clausal_S_marker	nomn	nom-acc	12	1200	0.709167	0.023333	0.692619
3_2_clausal_S_marker	poss-acc	erg-abs	12	1200	0.845833	0.710000	0.245292
3_2_clausal_S_marker	poss-acc	nom-acc	12	1200	0.662500	0.023333	0.647042
3_2_clausal_S_marker	sent	erg-abs	12	1200	0.863333	0.597500	0.347492
3_2_clausal_S_marker	sent	nom-acc	12	1200	0.717500	0.191667	0.579979
3_3_clausal_A_marker	erg-poss	erg-abs	12	1200	1.000000	0.023333	0.976667
3_3_clausal_A_marker	erg-poss	nom-acc	12	1200	0.950000	0.000000	0.950000
3_3_clausal_A_marker	nomn	erg-abs	12	1200	0.993333	0.664167	0.333594
3_3_clausal_A_marker	nomn	nom-acc	12	1200	0.647500	0.000000	0.647500
3_3_clausal_A_marker	poss-acc	erg-abs	12	1200	0.994167	0.747500	0.251027
3_3_clausal_A_marker	poss-acc	nom-acc	12	1200	0.531667	0.000000	0.531667
3_3_clausal_A_marker	sent	erg-abs	12	1200	0.999167	0.664167	0.335553
3_3_clausal_A_marker	sent	nom-acc	12	1200	0.597500	0.333333	0.398333
3_4_clausal_P_marker	erg-poss	erg-abs	12	1200	0.907500	0.020000	0.889350
3_4_clausal_P_marker	erg-poss	nom-acc	12	1200	1.000000	0.333333	0.666667
3_4_clausal_P_marker	nomn	erg-abs	12	1200	0.960833	0.010000	0.951225
3_4_clausal_P_marker	nomn	nom-acc	12	1200	1.000000	0.000000	1.000000
3_4_clausal_P_marker	poss-acc	erg-abs	12	1200	0.959167	0.020000	0.939983
3_4_clausal_P_marker	poss-acc	nom-acc	12	1200	1.000000	0.333333	0.666667
3_4_clausal_P_marker	sent	erg-abs	12	1200	0.969167	0.191667	0.783410
3_4_clausal_P_marker	sent	nom-acc	12	1200	1.000000	0.333333	0.666667
3_5_clausal_comp_V_order	erg-poss	erg-abs	12	1200	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	erg-poss	nom-acc	12	1200	0.999167	0.000000	0.999167
3_5_clausal_comp_V_order	nomn	erg-abs	12	1200	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	nomn	nom-acc	12	1200	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	poss-acc	erg-abs	12	1200	1.000000	0.003333	0.996667
3_5_clausal_comp_V_order	poss-acc	nom-acc	12	1200	1.000000	0.000000	1.000000
3_5_clausal_comp_V_order	sent	erg-abs	12	1200	1.000000	0.013333	0.986667
3_5_clausal_comp_V_order	sent	nom-acc	12	1200	1.000000	0.003333	0.996667
3_6_clausal_CV_valency	erg-poss	erg-abs	12	1200	0.743333	0.750000	0.185833
3_6_clausal_CV_valency	erg-poss	nom-acc	12	1200	0.756667	0.750000	0.189167
3_6_clausal_CV_valency	nomn	erg-abs	12	1200	0.739167	0.750000	0.184792
3_6_clausal_CV_valency	nomn	nom-acc	12	1200	0.752500	0.750000	0.188125
3_6_clausal_CV_valency	poss-acc	erg-abs	12	1200	0.740833	0.773333	0.167922
3_6_clausal_CV_valency	poss-acc	nom-acc	12	1200	0.750000	0.750000	0.187500
3_6_clausal_CV_valency	sent	erg-abs	12	1200	0.753333	0.835000	0.124300
3_6_clausal_CV_valency	sent	nom-acc	12	1200	0.745000	0.750000	0.186250
4_1_anc_V_form	erg-poss	erg-abs	12	1200	0.933333	0.090000	0.849333
4_1_anc_V_form	erg-poss	nom-acc	12	1200	0.975000	0.090000	0.887250
4_1_anc_V_form	nomn	erg-abs	12	1200	0.957500	0.137500	0.825844
4_1_anc_V_form	nomn	nom-acc	12	1200	0.985000	0.130000	0.856950
4_1_anc_V_form	poss-acc	erg-abs	12	1200	0.913333	0.202500	0.728383
4_1_anc_V_form	poss-acc	nom-acc	12	1200	0.985000	0.130000	0.856950
4_1_anc_V_form	sent	erg-abs	12	1200	0.847500	0.176667	0.697775
4_1_anc_V_form	sent	nom-acc	12	1200	0.970000	0.050000	0.921500
4_2_anc_S_marker	erg-poss	erg-abs	12	1200	0.970833	0.247500	0.730552
4_2_anc_S_marker	erg-poss	nom-acc	12	1200	0.988333	0.010000	0.978450
4_2_anc_S_marker	nomn	erg-abs	12	1200	0.930833	0.247500	0.700452
4_2_anc_S_marker	nomn	nom-acc	12	1200	0.971667	0.010000	0.961950
4_2_anc_S_marker	poss-acc	erg-abs	12	1200	0.901667	0.549167	0.406501
4_2_anc_S_marker	poss-acc	nom-acc	12	1200	0.970000	0.010000	0.960300
4_2_anc_S_marker	sent	erg-abs	12	1200	0.469167	0.501667	0.233801
4_2_anc_S_marker	sent	nom-acc	12	1200	0.338333	0.501667	0.168603
4_3_anc_A_marker	erg-poss	erg-abs	12	1200	0.342500	0.000000	0.342500
4_3_anc_A_marker	erg-poss	nom-acc	12	1200	0.754167	0.020000	0.739083
4_3_anc_A_marker	nomn	erg-abs	12	1200	0.689167	0.000000	0.689167
4_3_anc_A_marker	nomn	nom-acc	12	1200	0.984167	0.023333	0.961203
4_3_anc_A_marker	poss-acc	erg-abs	12	1200	0.634167	0.250000	0.475625
4_3_anc_A_marker	poss-acc	nom-acc	12	1200	0.981667	0.023333	0.958761
4_3_anc_A_marker	sent	erg-abs	12	1200	0.835833	0.666667	0.278611
4_3_anc_A_marker	sent	nom-acc	12	1200	0.245000	0.670000	0.080850
4_4_anc_P_marker	erg-poss	erg-abs	12	1200	0.981667	0.030000	0.952217
4_4_anc_P_marker	erg-poss	nom-acc	12	1200	0.969167	0.000000	0.969167
4_4_anc_P_marker	nomn	erg-abs	12	1200	0.945000	0.173333	0.781200
4_4_anc_P_marker	nomn	nom-acc	12	1200	0.958333	0.000000	0.958333
4_4_anc_P_marker	poss-acc	erg-abs	12	1200	0.655000	0.835000	0.108075
4_4_anc_P_marker	poss-acc	nom-acc	12	1200	0.973333	0.833333	0.162222
4_4_anc_P_marker	sent	erg-abs	12	1200	0.760000	0.340000	0.501600
4_4_anc_P_marker	sent	nom-acc	12	1200	0.965000	0.333333	0.643333
4_5_anc_SV_order	erg-poss	erg-abs	12	1200	0.941667	0.335000	0.626208
4_5_anc_SV_order	erg-poss	nom-acc	12	1200	0.975833	0.333333	0.650556
4_5_anc_SV_order	nomn	erg-abs	12	1200	0.859167	0.335000	0.571346
4_5_anc_SV_order	nomn	nom-acc	12	1200	0.877500	0.333333	0.585000
4_5_anc_SV_order	poss-acc	erg-abs	12	1200	0.835000	0.338333	0.552492
4_5_anc_SV_order	poss-acc	nom-acc	12	1200	0.887500	0.333333	0.591667
4_5_anc_SV_order	sent	erg-abs	12	1200	0.816667	0.303333	0.568944
4_5_anc_SV_order	sent	nom-acc	12	1200	0.973333	0.000000	0.973333
4_6_anc_AV_order	erg-poss	erg-abs	12	1200	0.865000	0.000000	0.865000
4_6_anc_AV_order	erg-poss	nom-acc	12	1200	0.926667	0.000000	0.926667
4_6_anc_AV_order	nomn	erg-abs	12	1200	0.866667	0.333333	0.577778
4_6_anc_AV_order	nomn	nom-acc	12	1200	0.913333	0.333333	0.608889
4_6_anc_AV_order	poss-acc	erg-abs	12	1200	0.857500	0.333333	0.571667
4_6_anc_AV_order	poss-acc	nom-acc	12	1200	0.924167	0.333333	0.616111
4_6_anc_AV_order	sent	erg-abs	12	1200	1.000000	0.000000	1.000000
4_6_anc_AV_order	sent	nom-acc	12	1200	0.983333	0.003333	0.980056
4_7_anc_VP_order	erg-poss	erg-abs	12	1200	0.846667	0.500000	0.423333
4_7_anc_VP_order	erg-poss	nom-acc	12	1200	0.969167	0.500000	0.484583
4_7_anc_VP_order	nomn	erg-abs	12	1200	0.925833	0.000000	0.925833
4_7_anc_VP_order	nomn	nom-acc	12	1200	0.991667	0.000000	0.991667
4_7_anc_VP_order	poss-acc	erg-abs	12	1200	0.803333	0.101667	0.721661
4_7_anc_VP_order	poss-acc	nom-acc	12	1200	0.905000	0.000000	0.905000
4_7_anc_VP_order	sent	erg-abs	12	1200	0.958333	0.008333	0.950347
4_7_anc_VP_order	sent	nom-acc	12	1200	0.940833	0.000000	0.940833
5_1_anc_ext_S_marker	erg-poss	erg-abs	12	1200	0.650000	0.000000	0.650000
5_1_anc_ext_S_marker	erg-poss	nom-acc	12	1200	0.683333	0.000000	0.683333
5_1_anc_ext_S_marker	nomn	erg-abs	12	1200	0.641667	0.000000	0.641667
5_1_anc_ext_S_marker	nomn	nom-acc	12	1200	0.688333	0.000000	0.688333
5_1_anc_ext_S_marker	poss-acc	erg-abs	12	1200	0.602500	0.085000	0.551288
5_1_anc_ext_S_marker	poss-acc	nom-acc	12	1200	0.625833	0.000000	0.625833
5_1_anc_ext_S_marker	sent	erg-abs	12	1200	0.632500	0.160000	0.531300
5_1_anc_ext_S_marker	sent	nom-acc	12	1200	0.495000	0.323333	0.334950
5_2_anc_ext_A_marker	erg-poss	erg-abs	12	1200	0.990833	0.166667	0.825694
5_2_anc_ext_A_marker	erg-poss	nom-acc	12	1200	0.720000	0.000000	0.720000
5_2_anc_ext_A_marker	nomn	erg-abs	12	1200	0.998333	0.166667	0.831944
5_2_anc_ext_A_marker	nomn	nom-acc	12	1200	0.730000	0.000000	0.730000
5_2_anc_ext_A_marker	poss-acc	erg-abs	12	1200	0.996667	0.166667	0.830556
5_2_anc_ext_A_marker	poss-acc	nom-acc	12	1200	0.645833	0.000000	0.645833
