model_id	id	language	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo	overall_n_items	overall_accuracy_tie_ok	top_x_anc__iv_none_n_items	top_x_anc__iv_none_accuracy_tie_ok	top_x_anc__tv_arg_n_items	top_x_anc__tv_arg_accuracy_tie_ok	top_x_anc__iv_arg_n_items	top_x_anc__iv_arg_accuracy_tie_ok	top_x_anc__cv_bare_n_items	top_x_anc__cv_bare_accuracy_tie_ok	anc_bucket__none_n_items	anc_bucket__none_accuracy_tie_ok	anc_bucket__bare_n_items	anc_bucket__bare_accuracy_tie_ok	anc_bucket__arg_n_items	anc_bucket__arg_accuracy_tie_ok	complexity_bucket__iv_plain_n_items	complexity_bucket__iv_plain_accuracy_tie_ok	complexity_bucket__anc_bare_n_items	complexity_bucket__anc_bare_accuracy_tie_ok	complexity_bucket__anc_overt_arg_n_items	complexity_bucket__anc_overt_arg_accuracy_tie_ok	top_construction__tv_n_items	top_construction__tv_accuracy_tie_ok	top_construction__iv_n_items	top_construction__iv_accuracy_tie_ok	top_construction__cv_n_items	top_construction__cv_accuracy_tie_ok	top_construction__cop_n_n_items	top_construction__cop_n_accuracy_tie_ok	bare_minus_arg_accuracy	arg_minus_bare_accuracy
00_sov_gn_ac_b_se	00	00_sov_gn_ac_b_se	sov	gn	nom-acc	ac	balancing	b	sent	se	sov	222811	0.9917732966505244	48526	0.9973210237810658	943	0.5249204665959704	59	0.0847457627118644	1175	0.9804255319148936	214145	0.9954983772677392	6966	0.9919609532012633	1700	0.5217647058823529	43682	0.9973215512110252	6966	0.9919609532012633	1700	0.5217647058823529	98400	0.9916565040650407	49009	0.9961639698830826	36439	0.9861961085649991	38963	0.9917614146754613	0.4701962473189104	-0.4701962473189104
01_sov_gn_ac_b_pa	01	01_sov_gn_ac_b_pa	sov	gn	nom-acc	ac	balancing	b	poss-acc	pa	sov	222811	0.9938243623519485	48526	0.997279808762313	943	0.865323435843054	59	0.6271186440677966	1175	0.9795744680851064	214145	0.9952041840808797	6966	0.9892334194659776	1700	0.8388235294117647	43682	0.9972299803122567	6966	0.9892334194659776	1700	0.8388235294117647	98400	0.994410569105691	49009	0.9968169111795793	36439	0.9884190016191443	38963	0.9936349870389857	0.1504098900542129	-0.1504098900542129
02_sov_gn_ac_b_ep	02	02_sov_gn_ac_b_ep	sov	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov	222811	0.9949104846708645	48526	0.9972385937435602	943	0.8897136797454931	59	0.6271186440677966	1175	0.9880851063829788	214145	0.9959279927152164	6966	0.9931093884582257	1700	0.8741176470588236	43682	0.9972070875875647	6966	0.9931093884582257	1700	0.8741176470588236	98400	0.994959349593496	49009	0.9967965067640637	36439	0.9923433683690551	38963	0.9948155942817545	0.11899174139940216	-0.11899174139940216
03_sov_gn_ac_b_no	03	03_sov_gn_ac_b_no	sov	gn	nom-acc	ac	balancing	b	nomn	no	sov	222811	0.9942776613362895	48526	0.9970531261591724	943	0.8897136797454931	59	0.576271186440678	1175	0.9872340425531915	214145	0.99529290901025	6966	0.9926787252368647	1700	0.8729411764705882	43682	0.997023945790028	6966	0.9926787252368647	1700	0.8729411764705882	98400	0.9947154471544716	49009	0.9965516537778776	36439	0.9903949065561624	38963	0.9939429715370993	0.11973754876627651	-0.11973754876627651
04_sov_gn_ac_d_se	04	04_sov_gn_ac_d_se	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	222811	0.9920919523721898	48526	0.9974446688373243	943	0.5556733828207847	59	0.1864406779661017	1175	0.9736170212765958	214145	0.995671157393355	6966	0.9890898650588573	1700	0.5535294117647059	43682	0.9973902293851015	6966	0.9890898650588573	1700	0.5535294117647059	98400	0.9917987804878049	49009	0.9964292272847844	36439	0.9873761629023848	38963	0.9917870800503041	0.4355604532941514	-0.4355604532941514
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	222811	0.994686079233072	48526	0.9978774265342291	943	0.8844114528101803	59	0.6610169491525424	1175	0.971063829787234	214145	0.9959186532489668	6966	0.9888027562446167	1700	0.8635294117647059	43682	0.997802298429559	6966	0.9888027562446167	1700	0.8635294117647059	98400	0.995030487804878	49009	0.9974494480605604	36439	0.9905595653009138	38963	0.9941996252855273	0.1252733444799108	-0.1252733444799108
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	222811	0.9941834110524166	48526	0.9969294811029139	943	0.8854718981972428	59	0.711864406779661	1175	0.9812765957446808	214145	0.9953442760746223	6966	0.9896640826873385	1700	0.8664705882352941	43682	0.9968865894418754	6966	0.9896640826873385	1700	0.8664705882352941	98400	0.994441056910569	49009	0.9965924626089085	36439	0.9910260984110432	38963	0.9934553294150861	0.12319349445204442	-0.12319349445204442
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	222811	0.9951438663261688	48526	0.9976095289123357	943	0.9066808059384942	59	0.6779661016949152	1175	0.9897872340425532	214145	0.9961147820402064	6966	0.991817398794143	1700	0.8864705882352941	43682	0.9975733711826381	6966	0.991817398794143	1700	0.8864705882352941	98400	0.9952642276422764	49009	0.9972045950743741	36439	0.9925080271138066	38963	0.9947129327823833	0.10534681055884887	-0.10534681055884887
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	222811	0.9906871743316084	48526	0.9988871944936735	943	0.40402969247083775	59	0.05084745762711865	1175	0.9795744680851064	214145	0.9952508814121273	6966	0.9915302899799023	1700	0.4123529411764706	43682	0.9988324710407033	6966	0.9915302899799023	1700	0.4123529411764706	98400	0.989969512195122	49009	0.9977555142932931	36439	0.9841378742556053	38963	0.9897338500628802	0.5791773488034317	-0.5791773488034317
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	222811	0.9927337519242766	48526	0.9989696245311792	943	0.6712619300106044	59	0.7288135593220338	1175	0.9812765957446808	214145	0.99557776273086	6966	0.987510766580534	1700	0.6558823529411765	43682	0.9989011492147796	6966	0.987510766580534	1700	0.6558823529411765	98400	0.9923678861788617	49009	0.9986533085759759	36439	0.9883366722467686	38963	0.9903241536842645	0.3316284136393576	-0.3316284136393576
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	222811	0.9952201641750182	48526	0.9990726620780612	943	0.8950159066808059	59	0.7288135593220338	1175	0.9897872340425532	214145	0.9961848280370776	6966	0.9933964972724663	1700	0.8811764705882353	43682	0.99901561283824	6966	0.9933964972724663	1700	0.8811764705882353	98400	0.9947967479674796	49009	0.9987553306535534	36439	0.9926177996103076	38963	0.9942766214100557	0.11222002668423092	-0.11222002668423092
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	222811	0.9950541041510518	48526	0.9992375221530726	943	0.8907741251325557	59	0.7457627118644068	1175	0.9914893617021276	214145	0.9960073781783371	6966	0.9928222796439851	1700	0.8841176470588236	43682	0.9992216473604688	6966	0.9928222796439851	1700	0.8841176470588236	98400	0.9947357723577236	49009	0.9989389703931931	36439	0.9921512665001784	38963	0.9936863177886713	0.1087046325851615	-0.1087046325851615
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	222811	0.9916745582578957	48526	0.9984750443061452	943	0.39236479321314954	59	0.11864406779661017	1175	0.9940425531914894	214145	0.9962035069695767	6966	0.9935400516795866	1700	0.41352941176470587	43682	0.9983517238221693	6966	0.9935400516795866	1700	0.41352941176470587	98400	0.9897052845528456	49009	0.9974086392295293	36439	0.9917396196382996	38963	0.989374534815081	0.5800106399148808	-0.5800106399148808
