model_id	id	language	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo	group	min_items	weakest_label	weakest_n_items	weakest_accuracy_tie_ok	strongest_label	strongest_n_items	strongest_accuracy_tie_ok	accuracy_range
04_sov_gn_ac_d_se	04	04_sov_gn_ac_d_se	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	top_x_anc	20	iv|arg	59	0.1864406779661017	cop_n|bare	1478	0.9979702300405954	0.8115295520744936
04_sov_gn_ac_d_se	04	04_sov_gn_ac_d_se	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	complexity_bucket	20	anc_overt_arg	1700	0.5535294117647059	iv_plain	43682	0.9973902293851015	0.44386081762039553
04_sov_gn_ac_d_se	04	04_sov_gn_ac_d_se	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	construction_detail	20	cv_depth2plus	4058	0.9862000985707245	tv_indirect_obj	73	1.0	0.013799901429275452
04_sov_gn_ac_d_se	04	04_sov_gn_ac_d_se	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	detail_x_anc	20	iv_plain|arg	53	0.18867924528301888	tv_indirect_obj|none	73	1.0	0.8113207547169812
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	top_construction	20	cv	36439	0.9905595653009138	iv	49009	0.9974494480605604	0.006889882759646526
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	anc_bucket	20	arg	1700	0.8635294117647059	none	214145	0.9959186532489668	0.1323892414842609
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	top_x_anc	20	iv|arg	59	0.6610169491525424	cop_n|bare	1478	0.9979702300405954	0.336953280888053
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	complexity_bucket	20	anc_overt_arg	1700	0.8635294117647059	iv_plain	43682	0.997802298429559	0.13427288666485315
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	construction_detail	20	cv_depth2plus	4058	0.9896500739280434	tv_indirect_obj	73	1.0	0.010349926071956617
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	detail_x_anc	20	iv_plain|arg	53	0.6226415094339622	tv_indirect_obj|none	73	1.0	0.37735849056603776
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	top_construction	20	cv	36439	0.9910260984110432	iv	49009	0.9965924626089085	0.005566364197865381
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	anc_bucket	20	arg	1700	0.8664705882352941	none	214145	0.9953442760746223	0.12887368783932818
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	top_x_anc	20	iv|arg	59	0.711864406779661	cop_n|bare	1478	0.9979702300405954	0.28610582326093437
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	complexity_bucket	20	anc_overt_arg	1700	0.8664705882352941	iv_plain	43682	0.9968865894418754	0.13041600120658126
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	construction_detail	20	tv_pp+particle	1742	0.9873708381171068	tv_indirect_obj	73	1.0	0.012629161882893203
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	detail_x_anc	20	iv_plain|arg	53	0.7169811320754716	cv_depth2plus|bare	125	1.0	0.28301886792452835
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	top_construction	20	cv	36439	0.9925080271138066	iv	49009	0.9972045950743741	0.004696567960567499
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	anc_bucket	20	arg	1700	0.8864705882352941	none	214145	0.9961147820402064	0.1096441938049123
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	top_x_anc	20	iv|arg	59	0.6779661016949152	cop_n|bare	1478	0.9986468200270636	0.3206807183321484
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	complexity_bucket	20	anc_overt_arg	1700	0.8864705882352941	iv_plain	43682	0.9975733711826381	0.11110278294734399
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	construction_detail	20	tv_pp+particle	1742	0.9908151549942594	tv_indirect_obj	73	1.0	0.009184845005740572
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	detail_x_anc	20	iv_plain|arg	53	0.660377358490566	cv_depth2plus|bare	125	1.0	0.339622641509434
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	top_construction	20	cv	36439	0.9841378742556053	iv	49009	0.9977555142932931	0.01361764003768784
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	anc_bucket	20	arg	1700	0.4123529411764706	none	214145	0.9952508814121273	0.5828979402356567
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	top_x_anc	20	iv|arg	59	0.05084745762711865	iv|bare	424	1.0	0.9491525423728814
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	complexity_bucket	20	anc_overt_arg	1700	0.4123529411764706	iv_plain	43682	0.9988324710407033	0.5864795298642327
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	construction_detail	20	cv_depth1	32381	0.98316914239832	tv_indirect_obj	73	1.0	0.016830857601680016
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	detail_x_anc	20	iv_plain|arg	53	0.05660377358490566	iv_plain|bare	383	1.0	0.9433962264150944
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	top_construction	20	cv	36439	0.9883366722467686	iv	49009	0.9986533085759759	0.010316636329207318
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	anc_bucket	20	arg	1700	0.6558823529411765	none	214145	0.99557776273086	0.3396954097896835
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	top_x_anc	20	cop_n|arg	439	0.5649202733485194	iv|bare	424	1.0	0.43507972665148065
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	complexity_bucket	20	anc_overt_arg	1700	0.6558823529411765	iv_plain	43682	0.9989011492147796	0.3430187962736031
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	construction_detail	20	cv_depth1	32381	0.9873691362218585	tv_indirect_obj	73	1.0	0.012630863778141488
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	detail_x_anc	20	cop_n|arg	439	0.5649202733485194	iv_plain|bare	383	1.0	0.43507972665148065
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	top_construction	20	cv	36439	0.9926177996103076	iv	49009	0.9987553306535534	0.00613753104324577
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	anc_bucket	20	arg	1700	0.8811764705882353	none	214145	0.9961848280370776	0.1150083574488423
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	top_x_anc	20	iv|arg	59	0.7288135593220338	iv|bare	424	1.0	0.27118644067796616
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	complexity_bucket	20	anc_overt_arg	1700	0.8811764705882353	iv_plain	43682	0.99901561283824	0.11783914225000469
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	construction_detail	20	tv_pp+particle	1742	0.9885189437428243	tv_indirect_obj	73	1.0	0.01148105625717566
10_sov_gn_er_b_ep	10	10_sov_gn_er_b_ep	sov	gn	erg-abs	er	balancing	b	erg-poss	ep	sov	detail_x_anc	20	iv_plain|arg	53	0.7169811320754716	iv_plain|bare	383	1.0	0.28301886792452835
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	top_construction	20	cv	36439	0.9921512665001784	iv	49009	0.9989389703931931	0.0067877038930147515
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	anc_bucket	20	arg	1700	0.8841176470588236	none	214145	0.9960073781783371	0.1118897311195135
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	top_x_anc	20	iv|arg	59	0.7457627118644068	iv|bare	424	1.0	0.2542372881355932
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	complexity_bucket	20	anc_overt_arg	1700	0.8841176470588236	iv_plain	43682	0.9992216473604688	0.11510400030164525
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	construction_detail	20	tv_pp+particle	1742	0.9913892078071183	tv_indirect_obj	73	1.0	0.008610792192881744
11_sov_gn_er_b_no	11	11_sov_gn_er_b_no	sov	gn	erg-abs	er	balancing	b	nomn	no	sov	detail_x_anc	20	iv_plain|arg	53	0.7358490566037735	iv_plain|bare	383	1.0	0.26415094339622647
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	top_construction	20	cop_n	38963	0.989374534815081	iv	49009	0.9974086392295293	0.008034104414448295
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	anc_bucket	20	arg	1700	0.41352941176470587	none	214145	0.9962035069695767	0.5826740952048708
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	top_x_anc	20	iv|arg	59	0.11864406779661017	cop_n|bare	1478	0.9986468200270636	0.8800027522304534
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	complexity_bucket	20	anc_overt_arg	1700	0.41352941176470587	iv_plain	43682	0.9983517238221693	0.5848223120574634
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	construction_detail	20	tv_pp+particle	1742	0.9850746268656716	tv_indirect_obj	73	1.0	0.014925373134328401
12_sov_gn_er_d_se	12	12_sov_gn_er_d_se	sov	gn	erg-abs	er	deranking	d	sent	se	sov	detail_x_anc	20	iv_plain|arg	53	0.11320754716981132	cv_depth2plus|bare	125	1.0	0.8867924528301887
