model_id	id	language	clause_wo	np_wo	alignment	alignment_code	comp_system	comp_system_code	strategy	strategy_code	anc_wo	top_construction__cop_n	top_construction__cv	top_construction__iv	top_construction__tv	anc_bucket__arg	anc_bucket__bare	anc_bucket__none	top_x_anc__cop_n_arg	top_x_anc__cop_n_bare	top_x_anc__cop_n_none	top_x_anc__cv_arg	top_x_anc__cv_bare	top_x_anc__cv_none	top_x_anc__iv_arg	top_x_anc__iv_bare	top_x_anc__iv_none	top_x_anc__tv_arg	top_x_anc__tv_bare	top_x_anc__tv_none	complexity_bucket__anc_bare	complexity_bucket__anc_overt_arg	complexity_bucket__cop_n	complexity_bucket__cv_depth1	complexity_bucket__cv_depth2plus	complexity_bucket__iv_plain	complexity_bucket__pp_or_particle	complexity_bucket__tv_plain_obj	construction_detail__cop_n	construction_detail__cv_depth1	construction_detail__cv_depth2plus	construction_detail__iv_particle	construction_detail__iv_plain	construction_detail__tv_indirect_obj	construction_detail__tv_particle	construction_detail__tv_plain_obj	construction_detail__tv_pp	construction_detail__tv_ppplusparticle	detail_x_anc__cop_n_arg	detail_x_anc__cop_n_bare	detail_x_anc__cop_n_none	detail_x_anc__cv_depth1_arg	detail_x_anc__cv_depth1_bare	detail_x_anc__cv_depth1_none	detail_x_anc__cv_depth2plus_arg	detail_x_anc__cv_depth2plus_bare	detail_x_anc__cv_depth2plus_none	detail_x_anc__iv_particle_arg	detail_x_anc__iv_particle_bare	detail_x_anc__iv_particle_none	detail_x_anc__iv_plain_arg	detail_x_anc__iv_plain_bare	detail_x_anc__iv_plain_none	detail_x_anc__tv_indirect_obj_none	detail_x_anc__tv_particle_arg	detail_x_anc__tv_particle_bare	detail_x_anc__tv_particle_none	detail_x_anc__tv_plain_obj_arg	detail_x_anc__tv_plain_obj_bare	detail_x_anc__tv_plain_obj_none	detail_x_anc__tv_ppplusparticle_arg	detail_x_anc__tv_ppplusparticle_bare	detail_x_anc__tv_ppplusparticle_none	detail_x_anc__tv_pp_arg	detail_x_anc__tv_pp_bare	detail_x_anc__tv_pp_none
00_sov_gn_ac_b_se	00	00_sov_gn_ac_b_se	sov	gn	nom-acc	ac	balancing	b	sent	se	sov	0.9917614146754613	0.9861961085649991	0.9961639698830826	0.9916565040650407	0.5217647058823529	0.9919609532012633	0.9954983772677392	0.6287015945330297	0.9972936400541272	0.9958430059925498	0.42857142857142855	0.9804255319148936	0.9905156406227682	0.0847457627118644	0.9905660377358491	0.9973210237810658	0.5249204665959704	0.9935716122396503	0.996280779753762	0.9919609532012633	0.5217647058823529	0.9958430059925498	0.9898026861217045	0.990578734858681	0.9973215512110252	0.994833855799373	0.99679438942901	0.9917614146754613	0.9862882554584479	0.9854608181370134	0.9963197710079739	0.9961466974930867	1.0	0.9953389830508474	0.9920990970396617	0.989804782151511	0.986796785304248	0.6287015945330297	0.9972936400541272	0.9958430059925498	0.42358078602620086	0.9809523809523809	0.9906115362356118	0.4666666666666667	0.976	0.9897514732257238	0.16666666666666666	1.0	0.9973162675474814	0.07547169811320754	0.9895561357702349	0.9973215512110252	1.0	0.375	1.0	0.9984851763687513	0.5230312035661219	0.993550577053632	0.99679086375484	0.21428571428571427	0.9814814814814815	0.9934289127837514	0.5646551724137931	0.9938574938574939	0.9943822922168339
01_sov_gn_ac_b_pa	01	01_sov_gn_ac_b_pa	sov	gn	nom-acc	ac	balancing	b	poss-acc	pa	sov	0.9936349870389857	0.9884190016191443	0.9968169111795793	0.994410569105691	0.8388235294117647	0.9892334194659776	0.9952041840808797	0.806378132118451	0.9959404600811907	0.9957620255898073	0.8455598455598455	0.9795744680851064	0.9897728895872018	0.6271186440677966	0.9952830188679245	0.997279808762313	0.865323435843054	0.9889431730521985	0.9959387824897401	0.9892334194659776	0.8388235294117647	0.9957620255898073	0.9888078262311392	0.9902422611036339	0.9972299803122567	0.9945329153605016	0.9965084429461518	0.9936349870389857	0.9883882523702171	0.9886643666830951	0.9975465140053159	0.9967360261117911	1.0	0.9978813559322034	0.9951565893244942	0.9916335207790427	0.9896670493685419	0.806378132118451	0.9959404600811907	0.9957620255898073	0.834061135371179	0.9780952380952381	0.9898720339528004	0.9333333333333333	0.992	0.988982833717653	0.8333333333333334	1.0	0.9977291494632535	0.6037735849056604	0.9947780678851175	0.9972299803122567	1.0	0.9166666666666666	1.0	0.9982687729928587	0.8855869242199108	0.9898167006109979	0.9965046027752249	0.8571428571428571	0.9629629629629629	0.991636798088411	0.8017241379310345	0.9864864864864865	0.9939501608488981
02_sov_gn_ac_b_ep	02	02_sov_gn_ac_b_ep	sov	gn	nom-acc	ac	balancing	b	erg-poss	ep	sov	0.9948155942817545	0.9923433683690551	0.9967965067640637	0.994959349593496	0.8741176470588236	0.9931093884582257	0.9959279927152164	0.8747152619589977	0.9979702300405954	0.9961129406683582	0.8725868725868726	0.9880851063829788	0.9933723753749464	0.6271186440677966	0.9976415094339622	0.9972385937435602	0.8897136797454931	0.9922859346875803	0.9961311559507524	0.9931093884582257	0.8741176470588236	0.9961129406683582	0.9931188857569225	0.9946164199192463	0.9972070875875647	0.9947335423197492	0.9967793396141228	0.9948155942817545	0.9921867761959173	0.9935929029078364	0.9973420568390922	0.9967360261117911	1.0	0.997457627118644	0.9957137958623843	0.9925021716271202	0.9885189437428243	0.8747152619589977	0.9979702300405954	0.9961129406683582	0.8646288209606987	0.9866666666666667	0.9933123271815317	0.9333333333333333	1.0	0.9938508839354343	0.8333333333333334	1.0	0.9975227085053675	0.6037735849056604	0.9973890339425587	0.9972070875875647	1.0	0.875	0.9866666666666667	0.9982687729928587	0.9004457652303121	0.993550577053632	0.9967757973874919	0.7142857142857143	0.9629629629629629	0.991636798088411	0.8706896551724138	0.9901719901719902	0.9939501608488981
03_sov_gn_ac_b_no	03	03_sov_gn_ac_b_no	sov	gn	nom-acc	ac	balancing	b	nomn	no	sov	0.9939429715370993	0.9903949065561624	0.9965516537778776	0.9947154471544716	0.8729411764705882	0.9926787252368647	0.99529290901025	0.8610478359908884	0.9979702300405954	0.9953571235760946	0.8996138996138996	0.9872340425531915	0.9911726896157692	0.576271186440678	0.9976415094339622	0.9970531261591724	0.8897136797454931	0.9917716636667524	0.9958960328317373	0.9926787252368647	0.8729411764705882	0.9953571235760946	0.9903830210578677	0.9915881561238223	0.997023945790028	0.9944827586206897	0.9965535923908136	0.9939429715370993	0.9903956023594083	0.9903893543617546	0.9967286853404211	0.996532027743778	1.0	0.9970338983050847	0.9954851983083781	0.9919535500388607	0.9919632606199771	0.8610478359908884	0.9979702300405954	0.9953571235760946	0.8951965065502183	0.9866666666666667	0.9912224294257604	0.9333333333333333	0.992	0.9907763259031515	0.5	1.0	0.9973162675474814	0.5849056603773585	0.9973890339425587	0.997023945790028	1.0	0.8333333333333334	1.0	0.9978359662410734	0.9063893016344725	0.9918533604887984	0.9965498018772694	0.7857142857142857	0.9814814814814815	0.994026284348865	0.853448275862069	0.9914004914004914	0.9935180294809622
04_sov_gn_ac_d_se	04	04_sov_gn_ac_d_se	sov	gn	nom-acc	ac	deranking	d	sent	se	sov	0.9917870800503041	0.9873761629023848	0.9964292272847844	0.9917987804878049	0.5535294117647059	0.9890898650588573	0.995671157393355	0.6492027334851936	0.9979702300405954	0.9956000647843222	0.4671814671814672	0.9736170212765958	0.9916869018711613	0.1864406779661017	0.9929245283018868	0.9974446688373243	0.5556733828207847	0.9899717150938545	0.9962700923392613	0.9890898650588573	0.5535294117647059	0.9956000647843222	0.991170618471232	0.9885598923283984	0.9973902293851015	0.9950595611285267	0.996899738133221	0.9917870800503041	0.9875235477594886	0.9862000985707245	0.9969331425066449	0.9963733623464346	1.0	0.9953389830508474	0.9922419705109156	0.9900333744799524	0.9862227324913893	0.6492027334851936	0.9979702300405954	0.9956000647843222	0.45414847161572053	0.9733333333333334	0.9919297794354061	0.5666666666666667	0.976	0.9897514732257238	0.16666666666666666	1.0	0.9979355904211396	0.18867924528301888	0.9921671018276762	0.9973902293851015	1.0	0.4166666666666667	0.9866666666666667	0.9984851763687513	0.5423476968796433	0.9901561439239647	0.9968963283262773	0.2857142857142857	0.9814814814814815	0.9922341696535245	0.625	0.9901719901719902	0.99409420463821
05_sov_gn_ac_d_pa	05	05_sov_gn_ac_d_pa	sov	gn	nom-acc	ac	deranking	d	poss-acc	pa	sov	0.9941996252855273	0.9905595653009138	0.9974494480605604	0.995030487804878	0.8635294117647059	0.9888027562446167	0.9959186532489668	0.8451025056947609	0.9979702300405954	0.995816012524969	0.8648648648648649	0.971063829787234	0.9921439794315098	0.6610169491525424	0.9952830188679245	0.9978774265342291	0.8844114528101803	0.9899717150938545	0.9963555916552668	0.9888027562446167	0.8635294117647059	0.995816012524969	0.991377880948433	0.9888963660834454	0.997802298429559	0.9956363636363637	0.9968696385034465	0.9941996252855273	0.9906735431271425	0.9896500739280434	0.9985687998364343	0.9973253547304954	1.0	0.9976694915254237	0.9957280832095097	0.9925936085584968	0.9902411021814007	0.8451025056947609	0.9979702300405954	0.995816012524969	0.8602620087336245	0.9695238095238096	0.9923477589865604	0.9	0.984	0.9905201127337945	1.0	1.0	0.9985549132947977	0.6226415094339622	0.9947780678851175	0.997802298429559	1.0	0.9166666666666666	0.9866666666666667	0.9982687729928587	0.9049034175334324	0.9908350305498982	0.996866195591581	0.8571428571428571	0.9629629629629629	0.9922341696535245	0.8232758620689655	0.9889434889434889	0.9946223651990205
06_sov_gn_ac_d_ep	06	06_sov_gn_ac_d_ep	sov	gn	nom-acc	ac	deranking	d	erg-poss	ep	sov	0.9934553294150861	0.9910260984110432	0.9965924626089085	0.994441056910569	0.8664705882352941	0.9896640826873385	0.9953442760746223	0.8701594533029613	0.9979702300405954	0.9947362738217351	0.8262548262548263	0.9812765957446808	0.9925724896443365	0.711864406779661	0.9976415094339622	0.9969294811029139	0.8854718981972428	0.9881717665209565	0.9957998461012312	0.9896640826873385	0.8664705882352941	0.9947362738217351	0.9922483833526778	0.990578734858681	0.9968865894418754	0.9944576802507837	0.9965385425759263	0.9934553294150861	0.9910441308174547	0.9908822079842287	0.9969331425066449	0.9965546942291128	1.0	0.9970338983050847	0.9952994627957481	0.9916792392447309	0.9873708381171068	0.8701594533029613	0.9979702300405954	0.9947362738217351	0.8253275109170306	0.979047619047619	0.9926692817182174	0.8333333333333334	1.0	0.991801178580579	0.6666666666666666	1.0	0.9973162675474814	0.7169811320754716	0.9973890339425587	0.9968865894418754	1.0	0.8333333333333334	0.9866666666666667	0.998052369616966	0.9004457652303121	0.9891378139850645	0.9965347355099212	0.6428571428571429	0.9444444444444444	0.991636798088411	0.8620689655172413	0.9877149877149877	0.9932779564987756
07_sov_gn_ac_d_no	07	07_sov_gn_ac_d_no	sov	gn	nom-acc	ac	deranking	d	nomn	no	sov	0.9947129327823833	0.9925080271138066	0.9972045950743741	0.9952642276422764	0.8864705882352941	0.991817398794143	0.9961147820402064	0.8701594533029613	0.9986468200270636	0.9960319602656157	0.888030888030888	0.9897872340425532	0.9933723753749464	0.6779661016949152	0.9952830188679245	0.9976095289123357	0.9066808059384942	0.9894574440730265	0.9963983413132695	0.991817398794143	0.8864705882352941	0.9960319602656157	0.9928701707842812	0.9932705248990579	0.9975733711826381	0.9953354231974921	0.9969749872076573	0.9947129327823833	0.9924647169636516	0.9928536224741252	0.9977509711715395	0.9971440228478172	1.0	0.997457627118644	0.9959566807635158	0.9929136378183148	0.9908151549942594	0.8701594533029613	0.9986468200270636	0.9960319602656157	0.8908296943231441	0.9885714285714285	0.9933444794546974	0.8666666666666667	1.0	0.9935946707660773	0.8333333333333334	1.0	0.9979355904211396	0.660377358490566	0.9947780678851175	0.9975733711826381	1.0	0.8333333333333334	0.9866666666666667	0.9984851763687513	0.9182763744427934	0.9908350305498982	0.9969716601630181	0.8571428571428571	0.9629629629629629	0.992831541218638	0.8836206896551724	0.9864864864864865	0.9943822922168339
08_sov_gn_er_b_se	08	08_sov_gn_er_b_se	sov	gn	erg-abs	er	balancing	b	sent	se	sov	0.9897338500628802	0.9841378742556053	0.9977555142932931	0.989969512195122	0.4123529411764706	0.9915302899799023	0.9952508814121273	0.5056947608200456	0.9986468200270636	0.995114182367867	0.3667953667953668	0.9795744680851064	0.9888587344665047	0.05084745762711865	1.0	0.9988871944936735	0.40402969247083775	0.9915145281563383	0.9958105335157319	0.9915302899799023	0.4123529411764706	0.995114182367867	0.9863206765047255	0.9983176312247645	0.9988324710407033	0.9947335423197492	0.9963880444270535	0.9897338500628802	0.98316914239832	0.9918679152291769	0.9981598855039869	0.9977106849811869	1.0	0.9944915254237288	0.9902846039547377	0.9881589173867324	0.9873708381171068	0.5056947608200456	0.9986468200270636	0.995114182367867	0.37554585152838427	0.9780952380952381	0.9878142884701948	0.3	0.992	0.997181655137074	0.0	1.0	0.9993806771263418	0.05660377358490566	1.0	0.9988324710407033	1.0	0.375	1.0	0.9976195628651807	0.3848439821693908	0.991174473862865	0.9963840718364395	0.2857142857142857	0.9814814814814815	0.9934289127837514	0.4698275862068966	0.9926289926289926	0.9937581024631488
09_sov_gn_er_b_pa	09	09_sov_gn_er_b_pa	sov	gn	erg-abs	er	balancing	b	poss-acc	pa	sov	0.9903241536842645	0.9883366722467686	0.9986533085759759	0.9923678861788617	0.6558823529411765	0.987510766580534	0.99557776273086	0.5649202733485194	0.9952638700947226	0.9951681693030286	0.7374517374517374	0.9812765957446808	0.9904299385802028	0.7288135593220338	1.0	0.9989696245311792	0.6712619300106044	0.9850861403959887	0.995906720246238	0.987510766580534	0.6558823529411765	0.9951681693030286	0.9879787763223346	0.9979811574697174	0.9989011492147796	0.9953354231974921	0.996418144056828	0.9903241536842645	0.9873691362218585	0.996057171020207	0.999386628501329	0.9985720114239086	1.0	0.9963983050847458	0.9931563607269402	0.9892104420975633	0.9890929965556832	0.5649202733485194	0.9952638700947226	0.9951681693030286	0.7292576419213974	0.979047619047619	0.9895505112211433	0.8	1.0	0.997437868306431	0.8333333333333334	1.0	0.999587118084228	0.7169811320754716	1.0	0.9989011492147796	1.0	0.625	0.9866666666666667	0.9984851763687513	0.6939078751857355	0.9881194840461643	0.9964142045711358	0.7142857142857143	0.9444444444444444	0.992831541218638	0.6077586206896551	0.9766584766584766	0.9939501608488981
