comp_system	strategy	n_models	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
balancing	erg-poss	12	0.9967842700764324	0.0003220218032323359	0.9974593564351251	0.9971872786336565	1.0346489476132985	6.77561700275121	22.16738027595885	22.161031846123695	1.0
balancing	nomn	12	0.9963908125421695	4.862117818838986e-05	0.9974645925620069	0.9969456296606781	1.0348666208879573	6.77561700275121	22.17278769899152	22.16510218675619	1.0
balancing	poss-acc	12	0.9952702813894586	2.35625709682197e-05	0.9970569226833504	0.9960851524705432	1.0411682995902356	6.77561700275121	22.183613017310634	22.16985808600114	1.0
balancing	sent	12	0.9930393173287375	6.7321631337770575e-06	0.9946494263448992	0.9940459619520187	1.0642207221965403	6.77561700275121	22.17454778564194	22.169157941035227	1.0
deranking	erg-poss	12	0.9961002075002281	0.00028088080630369835	0.9969005868950217	0.996583284385644	1.0411503471552124	6.77561700275121	22.167373543795712	22.160480930773915	1.0
deranking	nomn	12	0.9955803349026754	4.4881087558513716e-05	0.9967719277773539	0.9962150477485194	1.0439587812091862	6.77561700275121	22.17278769899152	22.16291385972865	1.0
deranking	poss-acc	12	0.9950511120785479	2.2814552842244472e-05	0.9967539753423305	0.995849674254642	1.0452861393737294	6.77561700275121	22.183613017310634	22.168971310512795	1.0
deranking	sent	12	0.9930037864677537	7.480181259752286e-06	0.9945013187559562	0.993975916405627	1.0671824999663393	6.77561700275121	22.174539557442557	22.16818925756209	1.0
