subset	group	value	n_models	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_n_unique_sentences	mean_own_sentence_group_size	mean_max_languages_count	mean_score_gap	mean_score_gap_when_wrong
all	all	all	96	0.9951525152857504	9.462429293586642e-05	0.9964447633495055	0.995860993183927	1.0465602947490624	6.77561700275121	22.174580324430423	22.165713177311712	0.0015424946947338028	0.313681996144756
all	comp_system	balancing	48	0.9953711703341995	0.00010023442888068063	0.9966575745063454	0.9960660056742766	1.0437261475720079	6.77561700275121	22.174582194475736	22.166287514979064	0.001513182737662189	0.3261654762112437
all	comp_system	deranking	48	0.9949338602373012	8.901415699105221e-05	0.9962319521926656	0.9956559806935774	1.0493944419261167	6.77561700275121	22.174578454385106	22.165138839644364	0.0015718066518054165	0.3011985160782683
all	strategy	erg-poss	24	0.9964422387883303	0.00030145130476801714	0.9971799716650734	0.9968852815069742	1.0378996473842554	6.77561700275121	22.16737690987728	22.160756388448807	0.0010805144205047476	0.306306179227951
all	strategy	nomn	24	0.9959855737224225	4.675113287345179e-05	0.9971182601696804	0.9965803387005299	1.0394127010485719	6.77561700275121	22.17278769899152	22.16400802324242	0.001163401365791336	0.2871371343765314
all	strategy	poss-acc	24	0.9951606967340032	2.3188561905232087e-05	0.9969054490128405	0.9959674133568903	1.0432272194819825	6.77561700275121	22.183613017310634	22.16941469825697	0.0015408811741434818	0.31945682052099544
all	strategy	sent	24	0.9930215518982456	7.106172196764672e-06	0.9945753725504276	0.9940109391713138	1.0657016110814397	6.77561700275121	22.17454367154225	22.168673599298657	0.002385181818495646	0.34182785045354613
all	alignment	erg-abs	48	0.9951330200633421	9.266074535518145e-05	0.9966569199904852	0.995895180130632	1.0450276991112049	6.77561700275121	22.174554143796012	22.16216920768424	0.0015525160592824935	0.31263079930685567
all	alignment	nom-acc	48	0.9951720105081586	9.65878405165514e-05	0.9962326067085258	0.995826806237222	1.0480928903869198	6.77561700275121	22.17460650506483	22.169257146939184	0.001532473330185112	0.31473319298265634
all	clause_wo	sov	32	0.9939926664302929	8.906090812392566e-05	0.995431946806935	0.9948288872760336	1.0568637769230425	6.77561700275121	24.497735749132673	24.4884512546508	0.0019492322958990468	0.3178600274283694
all	clause_wo	svo	32	0.9960438723851156	0.00010084219360803551	0.9971126032826028	0.9966156921765392	1.0462137753522043	6.77561700275121	24.497698722235437	24.480319502852193	0.001446310312638851	0.36533781282924366
all	clause_wo	vos	32	0.9954210070418427	9.39697770756381e-05	0.9967897399589787	0.9961384000992083	1.0366033319719403	6.77561700275121	17.528306501923154	17.528368774432142	0.0012319414756635108	0.25784814817665497
all	np_wo	gn	48	0.9950646699070812	9.68683473137921e-05	0.9963332151464694	0.9957832197438973	1.047746744999125	6.77561700275121	22.174582661987067	22.165927624758204	0.0016353562012049077	0.3264784797878988
all	np_wo	ng	48	0.9952403606644196	9.238023855794073e-05	0.9965563115525415	0.9959387666239568	1.045373844499	6.77561700275121	22.17457798687378	22.165498729865224	0.001449633188262698	0.3008855125016132
all	anc_wo	ovs	8	0.9948745798008177	3.534385645232955e-05	0.9963657539349493	0.9956302193576114	1.0467487018145425	6.77561700275121	24.501413754258092	24.49000105470556	0.0014133461807428716	0.27414797606461966
all	anc_wo	sov	28	0.9944712911711848	0.00014634440336043936	0.995690774435989	0.9952187555814506	1.0544731377073586	6.77561700275121	23.499984612198553	23.491780349392855	0.0019141288184236222	0.3416471149356436
all	anc_wo	svo	24	0.9954599039843933	2.3375566436725892e-05	0.9968386883950971	0.9961768136187621	1.0455187730109077	6.77561700275121	22.176881976204047	22.164526025794657	0.0015545150430615335	0.3368091288988587
all	anc_wo	vos	36	0.9955391939057467	0.00011507012171252266	0.9967861401217475	0.9962012474351444	1.0410583409257173	6.77561700275121	20.625101792799978	20.61861061617245	0.0012741320360878852	0.2852985974891386
anc	all	all	96	0.9475224055696592	0.002432879452265559	0.9725796215093468	0.9581964760057865	1.3409372836372029	10.537387491345488	14.421157396722824	14.379535204631125	0.01840786082865749	0.33144992975561727
anc	comp_system	balancing	48	0.9484840180013847	0.0025771213170243867	0.9741422417109008	0.9593256683351123	1.3180148472959459	10.537387491345488	14.421205477344412	14.379031560120008	0.01893816870439553	0.34441448166856925
anc	comp_system	deranking	48	0.9465607931379337	0.0022886375875067312	0.9710170013077929	0.9570672836764607	1.36385971997846	10.537387491345488	14.421109316101239	14.380038849142242	0.017877552952919457	0.3184853778426653
anc	strategy	erg-poss	24	0.9761760520040003	0.00775059619970767	0.9872105546580506	0.9804972536827833	1.165950265405031	10.537387491345488	14.23595084237249	14.249206669743826	0.008061230510471959	0.3435610200244017
anc	strategy	nomn	24	0.9660935456573583	0.0012020155396568967	0.9869797676744365	0.9741278918470652	1.1827159781521657	10.537387491345488	14.37506731287022	14.340656012000924	0.009403742679196476	0.2709913636373549
anc	strategy	poss-acc	24	0.9492989845372721	0.0005961997076698207	0.9861047003615663	0.9623253722210843	1.2464420340026157	10.537387491345488	14.653396415108855	14.463050042310947	0.018035322445380416	0.33880500145001013
anc	strategy	sent	24	0.8985210400800061	0.0001827063620278483	0.9300234633433341	0.9158353862722133	1.768640856988999	10.537387491345488	14.420215016539734	14.465228094468806	0.03813114767958112	0.3724423339107024
anc	alignment	erg-abs	48	0.9420628509885376	0.002382394799599969	0.9734907492884068	0.9546559096566803	1.345872759443034	10.537387491345488	14.42109969997692	14.342266712824063	0.02057260734061274	0.3394303308106657
anc	alignment	nom-acc	48	0.9529819601507808	0.0024833641049311485	0.971668493730287	0.9617370423548927	1.3360018078313716	10.537387491345488	14.421215093468728	14.416803696438187	0.016243114316702247	0.32346952870056883
anc	clause_wo	sov	32	0.9416397415185783	0.002289839603046388	0.9667630683129471	0.95279414856757	1.3980065774290331	10.537387491345488	14.961573967228249	14.932300080775445	0.02182502289695361	0.3561492231954238
anc	clause_wo	svo	32	0.9518845199630741	0.0025927475190399263	0.9756591853219478	0.9619887204578959	1.3326433764135703	10.537387491345488	14.961545118855296	14.903815918532194	0.017839375753050717	0.35246863093689035
anc	clause_wo	vos	32	0.9490429552273252	0.0024160512347103625	0.9753166108931456	0.9598065589918936	1.2921618970690054	10.537387491345488	13.34035310408493	13.302489614585738	0.015559183835968151	0.28573193513453765
anc	np_wo	gn	48	0.9456328371413185	0.00249057619816909	0.9711227786752827	0.9566564549294898	1.3505173474882683	10.537387491345488	14.421217497499807	14.384241095468882	0.019248857034627663	0.35218773379027146
anc	np_wo	ng	48	0.9494119739979998	0.002375182706362028	0.9740364643434111	0.9597364970820832	1.3313572197861374	10.537387491345488	14.421097295945842	14.374829313793368	0.017566864622687323	0.3107121257209631
anc	anc_wo	ovs	8	0.9557754442649434	0.0009087237479806139	0.9818687975998154	0.9655982777062658	1.2530146549734595	10.537387491345488	15.056138933764135	14.957722709439187	0.014995636338420264	0.3271519227166347
anc	anc_wo	sov	28	0.9450479707230226	0.003762652072137417	0.9668078863209257	0.9551022344205186	1.3932362929016517	10.537387491345488	14.67563713692262	14.669570736210478	0.021313241496777224	0.3823045788163535
anc	anc_wo	svo	24	0.9383750673128702	0.0006010077698284484	0.969247634433418	0.9515699459217536	1.3997134394953459	10.537387491345488	14.480642741749365	14.410363297176707	0.02267120638938572	0.3506134887992486
anc	anc_wo	vos	36	0.953711182911506	0.0029585609149421752	0.9772258122419674	0.9633759502502436	1.280614534451368	10.537387491345488	14.042464804984998	14.004913839526118	0.0140641620441316	0.28007572046573104
non_anc	all	all	96	0.9970800061484819	0.0	0.9974105356962183	0.9973851973720508	1.0346474740635239	6.623386023488758	22.488345124409474	22.480803505413	0.0008599886221354106	0.29813973829630136
non_anc	comp_system	balancing	48	0.9972685952664472	0.0	0.9975687229058192	0.9975528102383859	1.0326262579093606	6.623386023488758	22.488345124409474	22.481421466763173	0.0008080300215693027	0.31168608327216796
non_anc	comp_system	deranking	48	0.9968914170305168	0.0	0.9972523484866174	0.9972175845057155	1.0366686902176874	6.623386023488758	22.488345124409474	22.480185544062824	0.0009119472227015184	0.28459339332043476
non_anc	strategy	erg-poss	24	0.9972623689556142	0.0	0.9975834131079409	0.997548470697123	1.0327177068497202	6.623386023488758	22.488345124409474	22.480920248741118	0.0007980194491738464	0.2928188226434844
non_anc	strategy	nomn	24	0.9971952415419458	0.0	0.997528543743725	0.9974889422375357	1.0336135173208185	6.623386023488758	22.488345124409474	22.480602706888636	0.0008299319977371251	0.29712806499594974
non_anc	strategy	poss-acc	24	0.9970166242499241	0.0	0.9973425327075891	0.997328836357581	1.0350035412142862	6.623386023488758	22.488345124409474	22.4812751484586	0.0008733856544883918	0.297976587988743
non_anc	strategy	sent	24	0.9968457898464436	0.0	0.9971876532256182	0.9971745401959634	1.0372551308692708	6.623386023488758	22.488345124409474	22.480415917563644	0.000938617387142279	0.30463547755702824
non_anc	alignment	erg-abs	48	0.9972806587436861	0.0	0.9975944064380055	0.9975640471036048	1.032853129110338	6.623386023488758	22.48832021916614	22.478624296621447	0.0007828127692500019	0.29050541936270424
non_anc	alignment	nom-acc	48	0.9968793535532777	0.0	0.9972266649544312	0.9972063476404966	1.03644181901671	6.623386023488758	22.488370029652806	22.48298271420455	0.0009371644750208192	0.3057740572298984
non_anc	clause_wo	sov	32	0.9961112797403628	0.0	0.9965921163230521	0.9965299451837482	1.0430584417100563	6.623386023488758	24.88364425973056	24.87516869410913	0.0011449006451542763	0.2908451946261264
non_anc	clause_wo	svo	32	0.9978309089635528	0.0	0.9979807782110253	0.9980169732567127	1.034622568820192	6.623386023488758	24.88360690186556	24.867860561768893	0.0007829172607039039	0.3741586834683965
non_anc	clause_wo	vos	32	0.9972978297415303	0.0	0.9976587125545775	0.9976086736756914	1.0262614116603237	6.623386023488758	17.697784211632303	17.69938126036097	0.0006521479605480515	0.2294153367943812
non_anc	np_wo	gn	48	0.9970650727310935	0.0	0.9973534287515469	0.9973665980337554	1.0354942523368122	6.623386023488758	22.488345124409474	22.48083619354487	0.0009225746829698724	0.30825824863802526
non_anc	np_wo	ng	48	0.9970949395658705	0.0	0.9974676426408897	0.9974037967103462	1.0338006957902355	6.623386023488758	22.488345124409474	22.480770817281126	0.0007974025613009488	0.28802122795457746
non_anc	anc_wo	ovs	8	0.9964568399915945	0.0	0.9969524154194588	0.9968455491871687	1.0384015503513975	6.623386023488758	24.88364425973056	24.875752410749726	0.0008636993222757944	0.24487464501097753
non_anc	anc_wo	sov	28	0.9964713495195178	0.0	0.9968596044736043	0.9968421872393488	1.0407641017601559	6.623386023488758	23.857087487450094	23.848796709839462	0.001129087325647175	0.3140119560339949
non_anc	anc_wo	svo	24	0.9977700078607175	0.0	0.9979552406079992	0.9979819602038436	1.0311852560959474	6.623386023488758	22.48833267178781	22.478320763968338	0.0006999667360394437	0.3201046752512505
non_anc	anc_wo	vos	36	0.9972318859754943	0.0	0.997577705656344	0.9975296185173753	1.0313640031027782	6.623386023488758	20.891487335943197	20.886253083969585	0.0007565462878812643	0.2829880761493122
