model_id	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_unique_sentences_per_id	mean_own_sentence_group_size	mean_max_languages_count	mean_max_unique_sentences_count
27_sov_ng_er_b_no	sov	ng	erg-abs	balancing	nomn	ovs	0.9945155311003496	4.0392978802662344e-05	0.9958888923796402	0.995287293285148	1.0487184205447666	6.77561700275121	24.495967434282868	24.48842292346428	1.0
28_sov_ng_er_d_se	sov	ng	erg-abs	deranking	sent	sov	0.9915623555389994	4.488108755851371e-06	0.9937256239593197	0.9927790116278989	1.0793991319997667	6.77561700275121	24.49741260530225	24.490348322120543	1.0
29_sov_ng_er_d_pa	sov	ng	erg-abs	deranking	poss-acc	ovs	0.9938333385694602	2.2440543779256858e-05	0.995861963727105	0.9947841202631283	1.0537406142425643	6.77561700275121	24.506788264493224	24.490895871388755	1.0
30_sov_ng_er_d_ep	sov	ng	erg-abs	deranking	erg-poss	vos	0.9948790679095736	0.00021094111152501448	0.9959562140109779	0.9955277399760417	1.0505405926996423	6.77561700275121	24.490658001624695	24.48296987132592	1.0
31_sov_ng_er_d_no	sov	ng	erg-abs	deranking	nomn	ovs	0.9951034733473662	4.936919631436509e-05	0.9963915605602955	0.9957896380732347	1.0446701464469887	6.77561700275121	24.495967434282868	24.48897944895001	1.0
32_svo_gn_ac_b_se	svo	gn	nom-acc	balancing	sent	svo	0.9956555107243359	8.976217511702743e-06	0.9965262038229711	0.9962809972039027	1.042219639066294	6.77561700275121	24.497452998281055	24.496586793291176	1.0
33_svo_gn_ac_b_pa	svo	gn	nom-acc	balancing	poss-acc	svo	0.9982945186727765	2.2440543779256858e-05	0.9987837225271643	0.9985587531339222	1.0208562413884412	6.77561700275121	24.50678377638447	24.49817109568199	1.0
34_svo_gn_ac_b_ep	svo	gn	nom-acc	balancing	erg-poss	sov	0.9985638051981276	0.00034109626544470424	0.9988375798322345	0.9987267404413773	1.0195457136317327	6.77561700275121	24.49065351351594	24.48375080224944	1.0
35_svo_gn_ac_b_no	svo	gn	nom-acc	balancing	nomn	svo	0.9982316851501946	4.0392978802662344e-05	0.9988420679409904	0.9985352583205384	1.0195905947192911	6.77561700275121	24.49596294617411	24.490298952924228	1.0
36_svo_gn_ac_d_se	svo	gn	nom-acc	deranking	sent	svo	0.9926305254228921	8.976217511702743e-06	0.9937525526118549	0.9935565135380472	1.0819708183168695	6.77561700275121	24.497452998281055	24.491878767206288	1.0
37_svo_gn_ac_d_pa	svo	gn	nom-acc	deranking	poss-acc	svo	0.9963421913639812	2.692865253510823e-05	0.9970782411999407	0.9968057332368877	1.046232008294025	6.77561700275121	24.50678377638447	24.49447289406717	1.0
38_svo_gn_ac_d_ep	svo	gn	nom-acc	deranking	erg-poss	sov	0.9950361517160283	0.00032314383042129875	0.9956914155943827	0.9955504878768915	1.0629098204307688	6.77561700275121	24.490572727558334	24.481309271086257	1.0
39_svo_gn_ac_d_no	svo	gn	nom-acc	deranking	nomn	svo	0.9938019218081693	4.4881087558513716e-05	0.9950675684773194	0.9945933071156489	1.0719488714650534	6.77561700275121	24.49596294617411	24.48392135038216	1.0
40_svo_gn_er_b_se	svo	gn	erg-abs	balancing	sent	svo	0.9935999569141559	0.0	0.9954625220478343	0.9946266777506101	1.0661547230612491	6.77561700275121	24.497444022063544	24.474680334453865	1.0
41_svo_gn_er_b_pa	svo	gn	erg-abs	balancing	poss-acc	svo	0.9966069897805764	2.692865253510823e-05	0.9985772695243951	0.9973666092772067	1.0345225325500087	6.77561700275121	24.50678377638447	24.477786105712912	1.0
42_svo_gn_er_b_ep	svo	gn	erg-abs	balancing	erg-poss	sov	0.9981329467575658	0.000350072482956407	0.9984381381529637	0.9982978213631455	1.0358195959804497	6.77561700275121	24.49065351351594	24.469088150944074	1.0
43_svo_gn_er_b_no	svo	gn	erg-abs	balancing	nomn	svo	0.9973654801603152	4.936919631436509e-05	0.9982271970414387	0.9977667931467012	1.0394280354201544	6.77561700275121	24.49596294617411	24.469658140756067	1.0
