model_id	subset	clause_wo	np_wo	alignment	comp_system	strategy	anc_wo	accuracy_tie_ok	strict_unique_top1_accuracy	top5_accuracy	mrr	mean_rank	mean_n_unique_sentences	mean_own_sentence_group_size	mean_max_languages_count	mean_score_gap	mean_score_gap_when_wrong
00_sov_gn_ac_b_se	all	sov	gn	nom-acc	balancing	sent	sov	0.9917732966505244	4.488108755851371e-06	0.9932947655187581	0.9928403626598328	1.085422173950119	6.77561700275121	24.497524808021147	24.491685778529785	0.003151884007746476	0.38312843843426075
00_sov_gn_ac_b_se	anc	sov	gn	nom-acc	balancing	sent	sov	0.899723055619663	0.00011539349180706209	0.9270713131779368	0.915802137783291	1.8254096468959151	10.537387491345488	14.95522732517886	15.059889222247865	0.04054870400761597	0.4043671679286536
00_sov_gn_ac_b_se	non_anc	sov	gn	nom-acc	balancing	sent	sov	0.9954983772677392	0	0.9959746900464639	0.9959579383995424	1.055476429522053	6.623386023488758	24.883681617595556	24.8733708468561	0.0016385129642064956	0.3639827372614108
01_sov_gn_ac_b_pa	all	sov	gn	nom-acc	balancing	poss-acc	sov	0.9938243623519485	2.2440543779256858e-05	0.9951932355224832	0.9946218798560215	1.0667875463958243	6.77561700275121	24.506855586124562	24.49283024626253	0.002155981892411057	0.34911081499273255
01_sov_gn_ac_b_pa	anc	sov	gn	nom-acc	balancing	poss-acc	sov	0.9597276713593353	0.0005769674590353104	0.9830371567043619	0.9682522011031618	1.2530579275328873	10.537387491345488	15.195130394645743	15.093007154396492	0.015522069721901685	0.3854276682234957
01_sov_gn_ac_b_pa	non_anc	sov	gn	nom-acc	balancing	poss-acc	sov	0.9952041840808797	0	0.9956851665927292	0.9956890055702444	1.0592495738868524	6.623386023488758	24.883681617595556	24.87322141539611	0.0016150842897102431	0.33676945006815967
02_sov_gn_ac_b_ep	all	sov	gn	nom-acc	balancing	erg-poss	sov	0.9949104846708645	0.0003186557216654474	0.9959023567059077	0.9955364241621374	1.055473024222323	6.77561700275121	24.490649025407183	24.48166383167797	0.0019286516078200807	0.3789460259171076
02_sov_gn_ac_b_ep	anc	sov	gn	nom-acc	balancing	erg-poss	sov	0.9697669051465497	0.008192937918301408	0.983267943687976	0.9754106958539118	1.1980152319409185	10.537387491345488	14.77844449573044	14.794830371567043	0.012117216915531965	0.40079313660305343
02_sov_gn_ac_b_ep	non_anc	sov	gn	nom-acc	balancing	erg-poss	sov	0.9959279927152164	0	0.9964136449601905	0.9963508702688365	1.0497046393798595	6.623386023488758	24.883681617595556	24.873669709776085	0.001516341691844311	0.3723818711009174
03_sov_gn_ac_b_no	all	sov	gn	nom-acc	balancing	nomn	sov	0.9942776613362895	6.732163133777057e-05	0.9953907123077407	0.9950036921264659	1.0629053323220128	6.77561700275121	24.496025779696694	24.48430283962641	0.002023068872901248	0.3535388224627451
03_sov_gn_ac_b_no	anc	sov	gn	nom-acc	balancing	nomn	sov	0.9691899376875144	0.0017309023771059312	0.9856912070159243	0.9759954981548581	1.1758596815139626	10.537387491345488	14.9166858989153	14.888529886914379	0.010824828846065082	0.3513406995505618
03_sov_gn_ac_b_no	non_anc	sov	gn	nom-acc	balancing	nomn	sov	0.99529290901025	0	0.995783230988349	0.995772913957272	1.058334306194401	6.623386023488758	24.883681617595556	24.872623689556143	0.0016668800665903944	0.3541210633531746
04_sov_gn_ac_d_se	all	sov	gn	nom-acc	deranking	sent	sov	0.9920919523721898	4.488108755851371e-06	0.9935146828477948	0.9931273793989076	1.079628025546315	6.77561700275121	24.497524808021147	24.491654361768493	0.002889306698008626	0.3653628346708286
04_sov_gn_ac_d_se	anc	sov	gn	nom-acc	deranking	sent	sov	0.9036464343411031	0.00011539349180706209	0.9300715439649204	0.9192315673805678	1.7719824601892453	10.537387491345488	14.95522732517886	15.06092776367413	0.03581951433187168	0.3717507918562874
04_sov_gn_ac_d_se	non_anc	sov	gn	nom-acc	deranking	sent	sov	0.995671157393355	0	0.9960820939083331	0.9961177882665017	1.0516098904947582	6.623386023488758	24.883681617595556	24.873296131126107	0.0015566901094585446	0.35960884950377564
05_sov_gn_ac_d_pa	all	sov	gn	nom-acc	deranking	poss-acc	sov	0.994686079233072	2.2440543779256858e-05	0.9958574756183491	0.9953934596803569	1.0533097558020026	6.77561700275121	24.506855586124562	24.495774445606365	0.001793256148933401	0.3374638478040541
05_sov_gn_ac_d_pa	anc	sov	gn	nom-acc	deranking	poss-acc	sov	0.9642280175398108	0.0005769674590353104	0.9836141241633972	0.9717807169974614	1.213477959843065	10.537387491345488	15.195130394645743	15.107777521347796	0.01207747302907916	0.3376238105483871
05_sov_gn_ac_d_pa	non_anc	sov	gn	nom-acc	deranking	poss-acc	sov	0.9959186532489668	0	0.9963529384295687	0.9963490179613813	1.0468280837750124	6.623386023488758	24.883681617595556	24.875687034485978	0.0013770754139951903	0.3374071104462243
06_sov_gn_ac_d_ep	all	sov	gn	nom-acc	deranking	erg-poss	sov	0.9941834110524166	0.0002692865253510823	0.9952381166100417	0.9948915481331263	1.0630399755846884	6.77561700275121	24.490649025407183	24.4814169856964	0.0020536098988829096	0.3530608604783951
06_sov_gn_ac_d_ep	anc	sov	gn	nom-acc	deranking	erg-poss	sov	0.9654973459496884	0.006923609508423725	0.9800369259173782	0.9717433827902147	1.2319409185321948	10.537387491345488	14.77844449573044	14.801407800600046	0.013210133006000463	0.38287295193979937
06_sov_gn_ac_d_ep	non_anc	sov	gn	nom-acc	deranking	erg-poss	sov	0.9953442760746223	0	0.9958532769852203	0.9958283059414416	1.0562049078895142	6.623386023488758	24.883681617595556	24.873146699666115	0.0016021287564500688	0.34412022321965896
07_sov_gn_ac_d_no	all	sov	gn	nom-acc	deranking	nomn	sov	0.9951438663261688	6.283352258191921e-05	0.9961716432312587	0.9957748643050837	1.050334139696873	6.77561700275121	24.496025779696694	24.485873677690957	0.0017469682482462716	0.35974467870609983
07_sov_gn_ac_d_no	anc	sov	gn	nom-acc	deranking	nomn	sov	0.9711516270482344	0.0016155088852988692	0.9848834525732749	0.9770346066374337	1.1752827140549273	10.537387491345488	14.9166858989153	14.893837987537504	0.009415856465497347	0.32639124852
07_sov_gn_ac_d_no	non_anc	sov	gn	nom-acc	deranking	nomn	sov	0.9961147820402064	0	0.9966284526839291	0.9965332433143897	1.0452777323775946	6.623386023488758	24.883681617595556	24.874043288426066	0.0014366243910901493	0.36976674306490387
08_sov_gn_er_b_se	all	sov	gn	erg-abs	balancing	sent	sov	0.9906871743316084	8.976217511702743e-06	0.992814537881882	0.9920436422187863	1.0782905691370712	6.77561700275121	24.497435045846032	24.492318601864362	0.00324996475981886	0.34897730028915663
08_sov_gn_er_b_se	anc	sov	gn	erg-abs	balancing	sent	sov	0.8779136856681283	0.00023078698361412417	0.921993999538426	0.9000365124555735	1.8497576736672052	10.537387491345488	14.954765751211632	14.98938379875375	0.047167540114239556	0.38634584369565217
08_sov_gn_er_b_se	non_anc	sov	gn	erg-abs	balancing	sent	sov	0.9952508814121273	0	0.9956804968596045	0.99576697821322	1.0470709098974993	6.623386023488758	24.88360690186556	24.876882486165915	0.0014727123933316211	0.31010225709931166
09_sov_gn_er_b_pa	all	sov	gn	erg-abs	balancing	poss-acc	sov	0.9927337519242766	2.2440543779256858e-05	0.9955298436791721	0.9940221705618664	1.0532514103881765	6.77561700275121	24.50678377638447	24.48925771169287	0.002580743227668293	0.3551686098208771
09_sov_gn_er_b_pa	anc	sov	gn	erg-abs	balancing	poss-acc	sov	0.9224555735056543	0.0005769674590353104	0.9826909762289406	0.9434178044530348	1.3075236556658205	10.537387491345488	15.195130394645743	14.899607662127856	0.02976055979113778	0.3837872189732143
09_sov_gn_er_b_pa	non_anc	sov	gn	erg-abs	balancing	poss-acc	sov	0.99557776273086	0	0.9960494057764598	0.9960700233564641	1.0429615447477176	6.623386023488758	24.88360690186556	24.877330780545893	0.0014808329316584557	0.3348605788278775
10_sov_gn_er_b_ep	all	sov	gn	erg-abs	balancing	erg-poss	sov	0.9952201641750182	0.0003186557216654474	0.9960100713160481	0.9958175230349938	1.043817405783377	6.77561700275121	24.49057721566709	24.486021785279902	0.0016820766807294075	0.351910974
10_sov_gn_er_b_ep	anc	sov	gn	erg-abs	balancing	erg-poss	sov	0.9713824140318486	0.008192937918301408	0.9826909762289406	0.9764536915451189	1.1826678975305793	10.537387491345488	14.77844449573044	14.790560812370183	0.011695521612047082	0.40868302536290324
10_sov_gn_er_b_ep	non_anc	sov	gn	erg-abs	balancing	erg-poss	sov	0.9961848280370776	0	0.9965490672208084	0.9966011367719069	1.0381984169604708	6.623386023488758	24.88360690186556	24.878376800765835	0.0012768535199047374	0.33467784212974294
11_sov_gn_er_b_no	all	sov	gn	erg-abs	balancing	nomn	sov	0.9950541041510518	6.283352258191921e-05	0.9960863691648976	0.9957335056311851	1.0423497942202136	6.77561700275121	24.4959539699566	24.490900359497513	0.0016019872603237721	0.32390234433756804
11_sov_gn_er_b_no	anc	sov	gn	erg-abs	balancing	nomn	sov	0.9714978075236557	0.0016155088852988692	0.9870759289176091	0.9779401633648742	1.1444726517424417	10.537387491345488	14.9166858989153	14.893837987537504	0.009431652795984307	0.33090972927125506
11_sov_gn_er_b_no	non_anc	sov	gn	erg-abs	balancing	nomn	sov	0.9960073781783371	0	0.9964510028251885	0.9964535649558477	1.0382170958929697	6.623386023488758	24.88360690186556	24.87927338952579	0.001285137081556889	0.32187798869005846
12_sov_gn_er_d_se	all	sov	gn	erg-abs	deranking	sent	sov	0.9916745582578957	8.976217511702743e-06	0.9936044450229118	0.992885707928289	1.0727657072586183	6.77561700275121	24.49741260530225	24.490182262096575	0.0029348692731507873	0.3525181442695418
12_sov_gn_er_d_se	anc	sov	gn	erg-abs	deranking	sent	sov	0.8797599815370413	0.00023078698361412417	0.9202630971613202	0.9010150677013616	1.8374105700438494	10.537387491345488	14.954188783752596	15.000923147934456	0.044408149869605354	0.3693292003550864
12_sov_gn_er_d_se	non_anc	sov	gn	erg-abs	deranking	sent	sov	0.9962035069695767	0	0.9965724158864321	0.9966035204768264	1.0418221298652781	6.623386023488758	24.88360690186556	24.874192719886057	0.0012565324002428262	0.3309718706642067
13_sov_gn_er_d_pa	all	sov	gn	erg-abs	deranking	poss-acc	sov	0.9939231007445772	1.3464326267554115e-05	0.9963601437990045	0.9949921543884728	1.0484850388894624	6.77561700275121	24.50678377638447	24.4877093141721	0.002120789672457823	0.34899207364106355
13_sov_gn_er_d_pa	anc	sov	gn	erg-abs	deranking	poss-acc	sov	0.9305331179321487	0.0003461804754211862	0.9843064851142396	0.9488243760062313	1.2911377798292176	10.537387491345488	15.195130394645743	14.93364874221094	0.02509712611585507	0.3612818852491695
13_sov_gn_er_d_pa	non_anc	sov	gn	erg-abs	deranking	poss-acc	sov	0.9964883606901865	0	0.9968479301407924	0.996860467762404	1.038665390272946	6.623386023488758	24.88360690186556	24.87434215134605	0.0011909854201125405	0.3391536872207447
