group	label	all_items	all_pct	evaluable_items	evaluable_pct	model_item_pairs	accuracy_tie_ok
anc_bucket	none	225880	0.9939451543633612	222114	0.994617492700926	0	
anc_bucket	bare	1198	0.005271587988875981	1029	0.00460782030844185	0	
anc_bucket	arg	178	0.0007832576477628753	173	0.0007746869906321088	0	
anc_subtype	none	225880	0.9939451543633612	222114	0.994617492700926	0	
anc_subtype	bare	1198	0.005271587988875981	1029	0.00460782030844185	0	
anc_subtype	ge_only	113	0.0004972365966135107	110	0.0004925755431764853	0	
anc_subtype	ob_only	63	0.00027722040342169184	61	0.0002731555284887782	0	
anc_subtype	ge_ob	2	8.800647727672756e-06	2	8.955918966845188e-06	0	
complexity_bucket	tv_plain_obj	70549	0.31043844826979267	69956	0.313260133622311	0	
complexity_bucket	iv_plain	43990	0.1935702467701623	43740	0.19586594780490427	0	
complexity_bucket	pp_or_particle	42330	0.1862657091561939	41217	0.18456805602822907	0	
complexity_bucket	cop_n	40570	0.17852113915584186	39061	0.17491357538196994	0	
complexity_bucket	cv_depth1	25334	0.11147780476643081	25067	0.11224901037095417	0	
complexity_bucket	cv_depth2plus	3107	0.013671806244939627	3073	0.013760769492557631	0	
complexity_bucket	anc_bare	1198	0.005271587988875981	1029	0.00460782030844185	0	
complexity_bucket	anc_overt_arg	178	0.0007832576477628753	173	0.0007746869906321088	0	
construction_detail	tv_plain_obj	70857	0.31179374801985427	70259	0.31461695534578804	0	
construction_detail	iv_plain	44422	0.1954711866793396	44077	0.19737502015081768	0	
construction_detail	cop_n	40570	0.17852113915584186	39061	0.17491357538196994	0	
construction_detail	cv_depth1	33005	0.14523268912591966	32473	0.1454127783051819	0	
construction_detail	tv_pp	22636	0.09960573098180026	21952	0.09830016658009279	0	
construction_detail	iv_particle	4960	0.021825606364628436	4880	0.02185244227910226	0	
construction_detail	tv_particle	4791	0.02108195163164009	4732	0.021189704275555714	0	
construction_detail	cv_depth2plus	4144	0.01823494209173795	4063	0.018193949381146	0	
construction_detail	tv_pp+particle	1797	0.007907381983313972	1746	0.00781851725805585	0	
construction_detail	tv_indirect_obj	74	0.000325623965923892	73	0.00032689104228984935	0	
detail_x_anc	tv_plain_obj|none	70475	0.3101128243038688	69883	0.31293324258002114	0	
detail_x_anc	iv_plain|none	43990	0.1935702467701623	43740	0.19586594780490427	0	
detail_x_anc	cop_n|none	40570	0.17852113915584186	39061	0.17491357538196994	0	
detail_x_anc	cv_depth1|none	32800	0.1443306227338332	32301	0.1446425692740332	0	
detail_x_anc	tv_pp|none	22386	0.09850565001584116	21716	0.09724336814200506	0	
detail_x_anc	iv_particle|none	4913	0.021618791143028126	4852	0.021727059413566428	0	
detail_x_anc	tv_particle|none	4781	0.021037948393001726	4722	0.02114492468072149	0	
detail_x_anc	cv_depth2plus|none	4109	0.018080930756503678	4035	0.018068566515610167	0	
detail_x_anc	tv_pp+particle|none	1782	0.007841377125356427	1731	0.00775134786580451	0	
detail_x_anc	iv_plain|bare	385	0.0016941246875770057	290	0.0012986082501925524	0	
detail_x_anc	tv_plain_obj|bare	302	0.0013288978068785862	299	0.0013389098855433555	0	
detail_x_anc	tv_pp|bare	211	0.0009284683352694758	198	0.0008866359777176736	0	
detail_x_anc	cv_depth1|bare	205	0.0009020663920864576	172	0.0007702090311486862	0	
detail_x_anc	tv_plain_obj|arg	80	0.00035202590910691025	77	0.00034480288022353974	0	
detail_x_anc	tv_indirect_obj|none	74	0.000325623965923892	73	0.00032689104228984935	0	
detail_x_anc	iv_plain|arg	47	0.00020681522160030978	47	0.00021046409572086192	0	
detail_x_anc	iv_particle|bare	42	0.0001848136022811279	24	0.00010747102760214225	0	
detail_x_anc	tv_pp|arg	39	0.00017161263068961874	38	0.00017016246037005858	0	
detail_x_anc	cv_depth2plus|bare	35	0.00015401133523427324	28	0.00012538286553583262	0	
detail_x_anc	tv_pp+particle|bare	10	4.400323863836378e-05	10	4.477959483422594e-05	0	
detail_x_anc	tv_particle|bare	8	3.5202590910691024e-05	8	3.582367586738075e-05	0	
detail_x_anc	iv_particle|arg	5	2.200161931918189e-05	4	1.7911837933690376e-05	0	
detail_x_anc	tv_pp+particle|arg	5	2.200161931918189e-05	5	2.238979741711297e-05	0	
detail_x_anc	tv_particle|arg	2	8.800647727672756e-06	2	8.955918966845188e-06	0	
detail_x_anc_subtype	tv_plain_obj|none	70475	0.3101128243038688	69883	0.31293324258002114	0	
detail_x_anc_subtype	iv_plain|none	43990	0.1935702467701623	43740	0.19586594780490427	0	
detail_x_anc_subtype	cop_n|none	40570	0.17852113915584186	39061	0.17491357538196994	0	
detail_x_anc_subtype	cv_depth1|none	32800	0.1443306227338332	32301	0.1446425692740332	0	
detail_x_anc_subtype	tv_pp|none	22386	0.09850565001584116	21716	0.09724336814200506	0	
detail_x_anc_subtype	iv_particle|none	4913	0.021618791143028126	4852	0.021727059413566428	0	
detail_x_anc_subtype	tv_particle|none	4781	0.021037948393001726	4722	0.02114492468072149	0	
detail_x_anc_subtype	cv_depth2plus|none	4109	0.018080930756503678	4035	0.018068566515610167	0	
detail_x_anc_subtype	tv_pp+particle|none	1782	0.007841377125356427	1731	0.00775134786580451	0	
detail_x_anc_subtype	iv_plain|bare	385	0.0016941246875770057	290	0.0012986082501925524	0	
detail_x_anc_subtype	tv_plain_obj|bare	302	0.0013288978068785862	299	0.0013389098855433555	0	
detail_x_anc_subtype	tv_pp|bare	211	0.0009284683352694758	198	0.0008866359777176736	0	
detail_x_anc_subtype	cv_depth1|bare	205	0.0009020663920864576	172	0.0007702090311486862	0	
detail_x_anc_subtype	tv_indirect_obj|none	74	0.000325623965923892	73	0.00032689104228984935	0	
detail_x_anc_subtype	iv_plain|ge_only	47	0.00020681522160030978	47	0.00021046409572086192	0	
detail_x_anc_subtype	tv_plain_obj|ge_only	43	0.00018921392614496427	42	0.00018807429830374896	0	
detail_x_anc_subtype	iv_particle|bare	42	0.0001848136022811279	24	0.00010747102760214225	0	
detail_x_anc_subtype	tv_plain_obj|ob_only	36	0.00015841165909810963	34	0.0001522506224363682	0	
detail_x_anc_subtype	cv_depth2plus|bare	35	0.00015401133523427324	28	0.00012538286553583262	0	
detail_x_anc_subtype	tv_pp|ob_only	26	0.00011440842045974584	26	0.00011642694656898744	0	
detail_x_anc_subtype	tv_pp|ge_only	12	5.280388636603654e-05	11	4.925755431764853e-05	0	
detail_x_anc_subtype	tv_pp+particle|bare	10	4.400323863836378e-05	10	4.477959483422594e-05	0	
detail_x_anc_subtype	tv_particle|bare	8	3.5202590910691024e-05	8	3.582367586738075e-05	0	
detail_x_anc_subtype	iv_particle|ge_only	5	2.200161931918189e-05	4	1.7911837933690376e-05	0	
detail_x_anc_subtype	tv_pp+particle|ge_only	4	1.7601295455345512e-05	4	1.7911837933690376e-05	0	
detail_x_anc_subtype	tv_particle|ge_only	2	8.800647727672756e-06	2	8.955918966845188e-06	0	
detail_x_anc_subtype	tv_plain_obj|ge_ob	1	4.400323863836378e-06	1	4.477959483422594e-06	0	
detail_x_anc_subtype	tv_pp+particle|ob_only	1	4.400323863836378e-06	1	4.477959483422594e-06	0	
detail_x_anc_subtype	tv_pp|ge_ob	1	4.400323863836378e-06	1	4.477959483422594e-06	0	
top_construction	tv	100155	0.44071443658253245	98762	0.44225223450178225	0	
top_construction	iv	49382	0.21729679304396804	48957	0.21922746242991994	0	
top_construction	cop_n	40570	0.17852113915584186	39061	0.17491357538196994	0	
top_construction	cv	37149	0.16346763121765762	36536	0.1636067276863279	0	
top_x_anc	tv|none	99498	0.437823423803992	98125	0.43939977431084204	0	
top_x_anc	iv|none	48903	0.2151890379131904	48592	0.2175930072184707	0	
top_x_anc	cop_n|none	40570	0.17852113915584186	39061	0.17491357538196994	0	
top_x_anc	cv|none	36909	0.1624115534903369	36336	0.16271113578964339	0	
top_x_anc	tv|bare	531	0.002336571971697117	515	0.002306149133962636	0	
top_x_anc	iv|bare	427	0.0018789382898581335	314	0.0014060792777946945	0	
top_x_anc	cv|bare	240	0.0010560777273207309	200	0.0008955918966845188	0	
top_x_anc	tv|arg	126	0.0005544408068433837	122	0.0005463110569775564	0	
top_x_anc	iv|arg	52	0.0002288168409194917	51	0.0002283759336545523	0	
top_x_anc_subtype	tv|none	99498	0.437823423803992	98125	0.43939977431084204	0	
top_x_anc_subtype	iv|none	48903	0.2151890379131904	48592	0.2175930072184707	0	
top_x_anc_subtype	cop_n|none	40570	0.17852113915584186	39061	0.17491357538196994	0	
top_x_anc_subtype	cv|none	36909	0.1624115534903369	36336	0.16271113578964339	0	
top_x_anc_subtype	tv|bare	531	0.002336571971697117	515	0.002306149133962636	0	
top_x_anc_subtype	iv|bare	427	0.0018789382898581335	314	0.0014060792777946945	0	
top_x_anc_subtype	cv|bare	240	0.0010560777273207309	200	0.0008955918966845188	0	
top_x_anc_subtype	tv|ob_only	63	0.00027722040342169184	61	0.0002731555284887782	0	
top_x_anc_subtype	tv|ge_only	61	0.00026841975569401907	59	0.00026419960952193304	0	
top_x_anc_subtype	iv|ge_only	52	0.0002288168409194917	51	0.0002283759336545523	0	
top_x_anc_subtype	tv|ge_ob	2	8.800647727672756e-06	2	8.955918966845188e-06	0	
