group	label	all_items	all_pct	evaluable_items	evaluable_pct	model_item_pairs	accuracy_tie_ok
anc_bucket	none	217856	0.958636955679938	214145	0.961106049521792	20557920	0.9970800061484819
anc_bucket	bare	7604	0.03346006266061182	6966	0.03126416559326066	668736	0.9922256316393914
anc_bucket	arg	1796	0.007902981659450135	1700	0.007629784884947332	163200	0.7643443627450981
anc_subtype	none	217856	0.958636955679938	214145	0.961106049521792	20557920	0.9970800061484819
anc_subtype	bare	7604	0.03346006266061182	6966	0.03126416559326066	668736	0.9922256316393914
anc_subtype	ge_only	1073	0.004721547505896434	1030	0.004622752018526913	98880	0.7862156148867314
anc_subtype	ob_only	692	0.003045024113774774	640	0.002872389603744878	61440	0.7382975260416667
anc_subtype	ge_ob	31	0.00013641003977892774	30	0.00013464326267554114	2880	0.5690972222222223
complexity_bucket	tv_plain_obj	67030	0.29495370859295245	66446	0.29821687439130024	6378816	0.9979819138849592
complexity_bucket	iv_plain	43935	0.19332822895765128	43682	0.1960495666730996	4193472	0.9984149172809548
complexity_bucket	pp_or_particle	40958	0.1802284648150104	39875	0.17896333663957345	3828000	0.9969216300940439
complexity_bucket	cop_n	38538	0.16957968106452634	37046	0.1662664769692699	3556416	0.9975852093793302
complexity_bucket	cv_depth1	24389	0.10731949871510543	24124	0.10827113562615849	2315904	0.992004418145139
complexity_bucket	anc_bare	7604	0.03346006266061182	6966	0.03126416559326066	668736	0.9922256316393914
complexity_bucket	cv_depth2plus	3006	0.013227373534692154	2972	0.013338659222390277	285312	0.9943220053835801
complexity_bucket	anc_overt_arg	1796	0.007902981659450135	1700	0.007629784884947332	163200	0.7643443627450981
construction_detail	tv_plain_obj	70857	0.31179374801985427	69992	0.3141317080395492	6719232	0.9957224278012725
construction_detail	iv_plain	44422	0.1954711866793396	44118	0.19800638209065083	4235328	0.9979196416428668
construction_detail	cop_n	40570	0.17852113915584186	38963	0.174870181454237	3740448	0.9951029930104629
construction_detail	cv_depth1	33005	0.14523268912591966	32381	0.14532944962322328	3108576	0.9905365028874957
construction_detail	tv_pp	22636	0.09960573098180026	21873	0.09816840281673705	2099808	0.9938946798945427
construction_detail	iv_particle	4960	0.021825606364628436	4891	0.02195133992486906	469536	0.9986050057929531
construction_detail	tv_particle	4791	0.02108195163164009	4720	0.021183873327618476	453120	0.9975966631355933
construction_detail	cv_depth2plus	4144	0.01823494209173795	4058	0.018212745331244867	389568	0.9927150073928044
construction_detail	tv_pp+particle	1797	0.007907381983313972	1742	0.007818285452693089	167232	0.994062141216992
construction_detail	tv_indirect_obj	74	0.000325623965923892	73	0.00032763193917715016	7008	0.9994292237442922
detail_x_anc	tv_plain_obj|none	66956	0.29462808462702855	66373	0.2978892424521231	6371808	0.9979803220687127
detail_x_anc	iv_plain|none	43935	0.19332822895765128	43682	0.1960495666730996	4193472	0.9984149172809548
detail_x_anc	cop_n|none	38538	0.16957968106452634	37046	0.1662664769692699	3556416	0.9975852093793302
detail_x_anc	cv_depth1|none	31589	0.13900183053472737	31102	0.13958915852448936	2985792	0.9926923911645553
detail_x_anc	tv_pp|none	21481	0.09452335691906924	20827	0.09347384105811651	1999392	0.9967270050095229
detail_x_anc	iv_particle|none	4905	0.021583588552117436	4844	0.021740398813344046	465024	0.9990473609964217
detail_x_anc	tv_particle|none	4680	0.020593515682754252	4621	0.02073955056078919	443616	0.998848102863738
detail_x_anc	cv_depth2plus|none	3976	0.01749568768261344	3903	0.017517088474087904	374688	0.9945474634896234
detail_x_anc	tv_plain_obj|bare	3189	0.014032632801774211	2946	0.013221968394738142	282816	0.9933596401900883
detail_x_anc	tv_pp+particle|none	1722	0.007577357693526243	1674	0.007513094057295196	160704	0.996509109916368
detail_x_anc	cop_n|bare	1566	0.006890907170767769	1478	0.006633424741148327	141888	0.9969764884979703
detail_x_anc	cv_depth1|bare	1178	0.005183581511599254	1050	0.00471251419364394	100800	0.981984126984127
detail_x_anc	tv_pp|bare	906	0.003986693420635759	814	0.0036533205272630165	78144	0.9927313677313677
detail_x_anc	tv_plain_obj|arg	712	0.0031330305910515013	673	0.0030204971926879732	64608	0.7833859583952452
detail_x_anc	cop_n|arg	466	0.002050550920547752	439	0.0019702797438187524	42144	0.7793280182232346
detail_x_anc	iv_plain|bare	433	0.0019053402330411519	383	0.0017189456534910754	36768	0.9924662750217581
detail_x_anc	tv_pp|arg	249	0.0010956806420952582	232	0.0010412412313575183	22272	0.7437140804597702
detail_x_anc	cv_depth1|arg	238	0.001047277079593058	229	0.0010277769050899641	21984	0.7369450509461426
detail_x_anc	cv_depth2plus|bare	138	0.0006072446932094203	125	0.0005610135944814215	12000	0.9911666666666666
detail_x_anc	tv_particle|bare	86	0.00037842785228992855	75	0.0003366081566888529	7200	0.9973611111111111
detail_x_anc	tv_indirect_obj|none	74	0.000325623965923892	73	0.00032763193917715016	7008	0.9994292237442922
detail_x_anc	tv_pp+particle|bare	60	0.0002640194318301827	54	0.00024235787281597407	5184	0.9845679012345679
detail_x_anc	iv_plain|arg	54	0.00023761748864716442	53	0.00023786976406012272	5088	0.629127358490566
detail_x_anc	iv_particle|bare	48	0.00021121554546414616	41	0.00018401245898990625	3936	0.9933943089430894
detail_x_anc	cv_depth2plus|arg	30	0.00013200971591509136	30	0.00013464326267554114	2880	0.7607638888888889
detail_x_anc	tv_particle|arg	25	0.00011000809659590946	24	0.00010771461014043292	2304	0.7573784722222222
detail_x_anc	tv_pp+particle|arg	15	6.600485795754568e-05	14	6.283352258191921e-05	1344	0.7380952380952381
detail_x_anc	iv_particle|arg	7	3.080226704685465e-05	6	2.692865253510823e-05	576	0.6770833333333334
detail_x_anc_subtype	tv_plain_obj|none	66956	0.29462808462702855	66373	0.2978892424521231	6371808	0.9979803220687127
detail_x_anc_subtype	iv_plain|none	43935	0.19332822895765128	43682	0.1960495666730996	4193472	0.9984149172809548
detail_x_anc_subtype	cop_n|none	38538	0.16957968106452634	37046	0.1662664769692699	3556416	0.9975852093793302
detail_x_anc_subtype	cv_depth1|none	31589	0.13900183053472737	31102	0.13958915852448936	2985792	0.9926923911645553
detail_x_anc_subtype	tv_pp|none	21481	0.09452335691906924	20827	0.09347384105811651	1999392	0.9967270050095229
detail_x_anc_subtype	iv_particle|none	4905	0.021583588552117436	4844	0.021740398813344046	465024	0.9990473609964217
detail_x_anc_subtype	tv_particle|none	4680	0.020593515682754252	4621	0.02073955056078919	443616	0.998848102863738
detail_x_anc_subtype	cv_depth2plus|none	3976	0.01749568768261344	3903	0.017517088474087904	374688	0.9945474634896234
detail_x_anc_subtype	tv_plain_obj|bare	3189	0.014032632801774211	2946	0.013221968394738142	282816	0.9933596401900883
detail_x_anc_subtype	tv_pp+particle|none	1722	0.007577357693526243	1674	0.007513094057295196	160704	0.996509109916368
detail_x_anc_subtype	cop_n|bare	1566	0.006890907170767769	1478	0.006633424741148327	141888	0.9969764884979703
detail_x_anc_subtype	cv_depth1|bare	1178	0.005183581511599254	1050	0.00471251419364394	100800	0.981984126984127
detail_x_anc_subtype	tv_pp|bare	906	0.003986693420635759	814	0.0036533205272630165	78144	0.9927313677313677
detail_x_anc_subtype	tv_plain_obj|ge_only	437	0.0019229415284964973	426	0.0019119343299926843	40896	0.7908108372456965
detail_x_anc_subtype	iv_plain|bare	433	0.0019053402330411519	383	0.0017189456534910754	36768	0.9924662750217581
detail_x_anc_subtype	tv_plain_obj|ob_only	267	0.001174886471644313	240	0.0010771461014043291	23040	0.7760850694444444
detail_x_anc_subtype	cop_n|ge_only	234	0.0010296757841377125	220	0.0009873839262873017	21120	0.8022253787878788
detail_x_anc_subtype	cop_n|ob_only	224	0.0009856725454993488	211	0.0009469909474846395	20256	0.7623913902053713
detail_x_anc_subtype	cv_depth1|ge_only	164	0.000721653113669166	157	0.0007046330746686653	15072	0.7692409766454352
detail_x_anc_subtype	cv_depth2plus|bare	138	0.0006072446932094203	125	0.0005610135944814215	12000	0.9911666666666666
detail_x_anc_subtype	tv_pp|ge_only	136	0.0005984440454817474	128	0.0005744779207489755	12288	0.788818359375
detail_x_anc_subtype	tv_pp|ob_only	105	0.00046203400570281973	96	0.0004308584405617317	9216	0.7009548611111112
detail_x_anc_subtype	tv_particle|bare	86	0.00037842785228992855	75	0.0003366081566888529	7200	0.9973611111111111
detail_x_anc_subtype	tv_indirect_obj|none	74	0.000325623965923892	73	0.00032763193917715016	7008	0.9994292237442922
detail_x_anc_subtype	cv_depth1|ob_only	68	0.0002992220227408737	66	0.00029621517788619054	6336	0.6715593434343434
detail_x_anc_subtype	tv_pp+particle|bare	60	0.0002640194318301827	54	0.00024235787281597407	5184	0.9845679012345679
detail_x_anc_subtype	iv_particle|bare	48	0.00021121554546414616	41	0.00018401245898990625	3936	0.9933943089430894
detail_x_anc_subtype	iv_plain|ge_only	40	0.00017601295455345513	40	0.00017952435023405486	3840	0.7361979166666667
detail_x_anc_subtype	cv_depth2plus|ge_only	24	0.00010560777273207308	24	0.00010771461014043292	2304	0.7782118055555556
detail_x_anc_subtype	tv_particle|ge_only	19	8.36061534128912e-05	18	8.078595760532469e-05	1728	0.7650462962962963
